relative_keyword,total_search,total_store_count,competitive_rate
나이키운동화,296200.0,2455063.0,8.29
운동화,151300.0,16978091.0,112.21
어그슬리퍼,391100.0,275944.0,0.71
크록스,601000.0,781646.0,1.3
캐리어,234800.0,5827535.0,24.82
크로스백,129400.0,13727147.0,106.08
백팩,146800.0,10191543.0,69.42
안전화,103100.0,2131884.0,20.68
양말,142900.0,10645808.0,74.5
스카프,96600.0,4685322.0,48.5
루이비통가방,263500.0,316373.0,1.2
카드지갑,127200.0,5724456.0,45.0
아디다스운동화,113700.0,1515129.0,13.33
에코백,91600.0,2269394.0,24.78
뉴발란스운동화,155700.0,822539.0,5.28
어그부츠,349600.0,441413.0,1.26
어그,597800.0,856386.0,1.43
롱부츠,84290.0,2167999.0,25.72
미니캐리어,18670.0,375448.0,20.11
뉴발란스530,202400.0,44977.0,0.22
바디워시,62300.0,1416419.0,22.74
바디로션,86700.0,1063381.0,12.27
마데카크림,93710.0,34055.0,0.36
AHC아이크림,72310.0,29340.0,0.41
샴푸,80300.0,4118400.0,51.29
디올립글로우,115210.0,12628.0,0.11
탈모샴푸,69400.0,273205.0,3.94
핸드크림,98600.0,539720.0,5.47
헤어에센스,58510.0,465911.0,7.96
인셀덤,107500.0,42768.0,0.4
달바미스트세럼,67450.0,19247.0,0.29
마스크팩,55210.0,785904.0,14.23
헤라블랙쿠션,77960.0,4530.0,0.06
키엘수분크림,57760.0,4549.0,0.08
바이오틴탈모샴푸,30720.0,3038.0,0.1
선크림,46120.0,694080.0,15.05
염색약,52190.0,728078.0,13.95
입생로랑쿠션,70290.0,4979.0,0.07
수분크림,57270.0,623423.0,10.89
립밤,83700.0,418333.0,5.0
가습기,500100.0,1399445.0,2.8
전기매트,149100.0,1202874.0,8.07
탄소매트,187800.0,294820.0,1.57
가열식가습기,242200.0,78556.0,0.32
냉장고,224300.0,5682968.0,25.34
보조배터리,200500.0,1362598.0,6.8
아이폰15프로케이스,128100.0,399365.0,3.12
카본매트,203400.0,242919.0,1.19
무선청소기,138000.0,1785023.0,12.93
김치냉장고,209100.0,260823.0,1.25
온수매트,209100.0,177571.0,0.85
전기장판,267600.0,567834.0,2.12
전자레인지,152400.0,1943569.0,12.75
에어프라이어,226500.0,454321.0,2.01
에어팟프로2,272500.0,195838.0,0.72
노트북,230400.0,17811123.0,77.31
앱코키보드,14560.0,41084.0,2.82
전기히터,106900.0,1894989.0,17.73
전기요,78900.0,484306.0,6.14
스탠바이미,248200.0,13126.0,0.05
침대,167400.0,15468521.0,92.4
침대프레임,101500.0,1112215.0,10.96
쇼파,134100.0,10406543.0,77.6
화장대,84000.0,3276792.0,39.01
행거,170800.0,5259740.0,30.79
식탁의자,79490.0,3020291.0,38.0
매트리스,145100.0,2956962.0,20.38
극세사이불,89800.0,739461.0,8.23
러그,110400.0,7047352.0,63.83
서랍장,108900.0,2519123.0,23.13
앞치마,73540.0,2257121.0,30.69
암막커튼,108300.0,969848.0,8.96
선반,80800.0,16208370.0,200.6
책상,110100.0,14552292.0,132.17
옷장,83800.0,3405969.0,40.64
파티션,88000.0,1841578.0,20.93
책장,86000.0,2447692.0,28.46
전신거울,52180.0,628657.0,12.05
이불,98500.0,8344500.0,84.72
식탁,102400.0,9153335.0,89.39
키즈패딩,104300.0,1003000.0,9.62
키즈경량패딩,29930.0,76735.0,2.56
물티슈,98200.0,984501.0,10.03
베베드피노,505000.0,11800.0,0.02
답례품,77700.0,2451660.0,31.55
돌반지,101900.0,86292.0,0.85
백일상대여,38260.0,6562.0,0.17
노스페이스키즈,108100.0,114105.0,1.06
탑텐키즈,158700.0,32198.0,0.2
레고,262100.0,1642790.0,6.27
기저귀가방,55550.0,337227.0,6.07
뉴발란스키즈,213100.0,87936.0,0.41
폴햄키즈,50120.0,83466.0,1.67
키즈롱패딩,52820.0,62899.0,1.19
캉골키즈,73580.0,62924.0,0.86
수면조끼,42280.0,142742.0,3.38
노스페이스키즈패딩,65980.0,10602.0,0.16
아이스비스킷,82480.0,8221.0,0.1
내셔널지오그래픽키즈,83830.0,60173.0,0.72
베베숲물티슈,46850.0,9466.0,0.2
빼빼로,494100.0,103066.0,0.21
사과,231400.0,1342234.0,5.8
킹크랩,263100.0,30641.0,0.12
오메가3,226600.0,934740.0,4.13
쌀20KG,109500.0,99355.0,0.91
아르기닌,181500.0,178481.0,0.98
닭가슴살,232300.0,582401.0,2.51
절임배추,225800.0,44479.0,0.2
유산균,148600.0,1472631.0,9.91
