relative_keyword,total_search,total_store_count,competitive_rate
앱코키보드,14530.0,40613.0,2.8
키즈경량패딩,28730.0,76995.0,2.68
후쿠오카버스투어,22720.0,546.0,0.02
식전영상,27600.0,432.0,0.02
면세점가방,3270.0,3436.0,1.05
면세점향수,4130.0,1898.0,0.46
면세점선글라스,2300.0,969.0,0.42
꾸셀파운데이션,2310.0,9.0,0.0
롱샴면세점,2180.0,36.0,0.02
인천공항면세점향수,2510.0,1898.0,0.76
인천공항면세점선글라스,1620.0,969.0,0.6
면세점시계,1150.0,1857.0,1.61
면세점가방추천,1240.0,3436.0,2.77
면세점어그,2460.0,22.0,0.01
꾸셀베이스오리지널,2270.0,346.0,0.15
면세점립스틱,1190.0,345.0,0.29
면세점립스틱추천,1050.0,345.0,0.33
면세점화장품,2130.0,9512.0,4.47
면세점향수추천,1250.0,1898.0,1.52
어그면세점,2170.0,22.0,0.01
밍크엘레팡,1720.0,241.0,0.14
면세점지갑,1270.0,839.0,0.66
인천공항면세점롱샴,1060.0,36.0,0.03
마라톤싱글렛,1670.0,26159.0,15.66
스포벨러닝벨트,1550.0,7.0,0.0
카멜백울트라벨트,1290.0,488.0,0.38
러닝클래스,1050.0,2413.0,2.3
카본제트프로3,1380.0,5.0,0.0
살로몬러닝벨트,1060.0,1180.0,1.11
당구장갑,3410.0,65464.0,19.2
당구그립,1230.0,28554.0,23.21
당구큐가방,1380.0,62851.0,45.54
쿠드롱팁,1160.0,2453.0,2.11
롱고니큐,2780.0,7091.0,2.55
아담무사시,2130.0,768.0,0.36
한밭큐,5600.0,7506.0,1.34
당구초크,1220.0,40872.0,33.5
줄다리기줄,1060.0,16304.0,15.38
게이트볼스틱,1620.0,21137.0,13.05
2인3각,2100.0,6320.0,3.01
컴파운드보우,6320.0,24720.0,3.91
피클볼,12490.0,105207.0,8.42
리듬체조리본,1410.0,17092.0,12.12
뉴스포츠,4170.0,62921.0,15.09
패드민턴,3790.0,29784.0,7.86
럭비공,2540.0,23648.0,9.31
리본체조리본,1070.0,25535.0,23.86
림보,4460.0,14148.0,3.17
마닐라로프,1780.0,10269.0,5.77
도라지배즙,27170.0,50598.0,1.86
곤약밥,23030.0,60862.0,2.64
전투식량,25430.0,35773.0,1.41
비비고만두,21690.0,92894.0,4.28
비비고사골곰탕,24430.0,20386.0,0.83
고메소바바치킨,13580.0,9302.0,0.68
지포어골프화,23860.0,82907.0,3.47
AB슬라이드,21600.0,62404.0,2.89
치닝디핑,13110.0,34371.0,2.62
무게조절덤벨,10640.0,28411.0,2.67
문틀철봉,11010.0,79960.0,7.26
로잉머신,25240.0,96244.0,3.81
자이로볼,13610.0,36634.0,2.69
천국의계단운동기구,21180.0,19053.0,0.9
스피닝자전거,7980.0,78235.0,9.8
스파인코렉터,12080.0,15080.0,1.25
토삭스,12110.0,67842.0,5.6
소함소함,9760.0,66.0,0.01
K2인라인스케이트,1700.0,15360.0,9.04
롤러블레이드,1910.0,52774.0,27.63
K2인라인,1440.0,15667.0,10.88
롤러브레이드,2820.0,52774.0,18.71
힐리스,5290.0,40131.0,7.59
두발킥보드,4710.0,44035.0,9.35
핑거보드,3420.0,99140.0,28.99
문워커스,1370.0,5441.0,3.97
휠리스,4010.0,54692.0,13.64
힐리스운동화,2250.0,26156.0,11.62
나인봇,5090.0,101431.0,19.93
바퀴달린신발,1960.0,67235.0,34.3
데카트론킥보드,1290.0,381.0,0.3
오토바이방한토시,9300.0,97105.0,10.44
오토바이블랙박스,7800.0,81954.0,10.51
오토바이방한복,9620.0,99034.0,10.29
홍진헬멧,14320.0,51594.0,3.6
존테스350D,9980.0,3599.0,0.36
미즈노축구화,20430.0,61707.0,3.02
