relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
제모제,1250.0,50115.0,40.09,15649,4128880
유아세탁세제,1410.0,50365.0,35.72,19351,4602401
기저귀휴지통,3200.0,50428.0,15.76,32578,8213300
카테킨,12470.0,50519.0,4.05,27531,3694266
파우더통,1500.0,50724.0,33.82,8217,587329
코인티슈,2550.0,50847.0,19.94,14845,3328210
업소용냉온풍기,420.0,51068.0,121.59,1080058,5035172
혈당계,2520.0,51190.0,20.31,45070,5911391
시서스,53100.0,51422.0,0.97,59928,5378496
휘핑크림,13200.0,51890.0,3.93,6612,1012695
동치미,23860.0,51919.0,2.18,19032,460202
임산부보호대,90.0,52177.0,579.74,9084,1224787
볼링의류,190.0,52414.0,275.86,38337,100929
속눈썹영양제,46050.0,52519.0,1.14,26876,4509979
황도,16550.0,52793.0,3.19,5077,685168
필오프팩,4610.0,52938.0,11.48,19605,11488678
유아비누,600.0,53011.0,88.35,10571,188801
천연감미료,580.0,53105.0,91.56,8686,725693
샤워코롱,5330.0,53229.0,9.99,9317,262008
혈당측정지,420.0,53645.0,127.73,18454,2419846
백신,14500.0,53897.0,3.72,25690,185560
발싸개,1160.0,54517.0,47.0,6638,1602663
체온계,32460.0,54594.0,1.68,45703,17281875
전기매트커버,900.0,54713.0,60.79,25132,644591
포도씨유,28300.0,54961.0,1.94,17097,494620
파벽돌,6300.0,55520.0,8.81,20321,150550
임산부바디필로우,10660.0,55863.0,5.24,53294,1285854
수유쿠션,24470.0,55874.0,2.28,52703,4886616
곤,10110.0,56442.0,5.58,22783,56425
발사믹드레싱,6080.0,57143.0,9.4,8330,408953
헤어젤,3780.0,57829.0,15.3,6604,416455
아기띠,31140.0,57849.0,1.86,114675,1237594
유아오일,240.0,58049.0,241.87,18602,343861
선스프레이,2990.0,58238.0,19.48,15030,567988
기저귀정리함,2550.0,58847.0,23.08,28733,211563
장조림,24720.0,59299.0,2.4,11186,3943720
치석제거기,12310.0,59356.0,4.82,15427,1427804
음식물처리기,134500.0,59651.0,0.44,505439,32854249
야구보호대,380.0,59764.0,157.27,40310,347063
레몬밤,11880.0,60010.0,5.05,13553,155804
테마여행,1530.0,60315.0,39.42,19729,93129
시간관리,1200.0,60656.0,50.55,6260,181143
개발툴,150.0,60947.0,406.31,81882,5744
통장지갑,2840.0,61120.0,21.52,7130,1324593
좌욕기,27820.0,61237.0,2.2,53307,7579634
선파우더,520.0,61537.0,118.34,15882,2839481
거꾸리,7200.0,62025.0,8.61,210064,4883041
케틀벨,21770.0,62235.0,2.86,23436,664025
청진기,10190.0,62558.0,6.14,37659,1520000
국내분유,370.0,62815.0,169.77,25611,10548688
함박,2330.0,63110.0,27.09,14395,37710633
어린이영어,1150.0,63595.0,55.3,43416,2408510
머스타드소스,4450.0,64151.0,14.42,6852,562578
욕창방지용품,50.0,64351.0,1287.02,47176,2398855
죽제조기,1830.0,64610.0,35.31,87822,12452767
클렌징로션,2990.0,65521.0,21.91,28223,3196060
얼룩제거제,11410.0,65642.0,5.75,9448,526552
하이패스,263400.0,66271.0,0.25,52654,5546024
의류관리기,3950.0,66362.0,16.8,1066120,7553476
미트볼,7120.0,66615.0,9.36,7107,84562
게살,3670.0,66710.0,18.18,8082,749458
DVD장,430.0,66775.0,155.29,55765,493280
립앤아이리무버,4130.0,67463.0,16.33,8327,2264119
바베큐소스,4300.0,67541.0,15.71,13525,214429
전병,15310.0,67788.0,4.43,9897,1814018
톤업크림,28440.0,68182.0,2.4,17263,2952486
메주,6720.0,68497.0,10.19,16832,233320
커피자판기,6460.0,69305.0,10.73,1734018,1190812
볼링가방,3580.0,69474.0,19.41,98257,1669083
딤섬,29130.0,70112.0,2.41,10411,624559
혀클리너,17070.0,70482.0,4.13,7852,2970620
스쿼시라켓,7350.0,71052.0,9.67,143789,305888
