relative_keyword,avg_sale
앱코키보드,548445.0
키즈경량패딩,1002830.0
후쿠오카버스투어,7110358.0
식전영상,1019754.0
꾸셀파운데이션,
면세점어그,
꾸셀베이스오리지널,6445.0
어그면세점,
밍크엘레팡,
마라톤싱글렛,507494.0
스포벨러닝벨트,12279300.0
러닝클래스,6625.0
살로몬러닝벨트,
당구장갑,297510.0
당구그립,282105.0
당구큐가방,466289.0
쿠드롱팁,275170.0
당구초크,243042.0
2인3각,20160.0
피클볼,186700.0
리듬체조리본,45627.0
뉴스포츠,179377.0
패드민턴,64133.0
럭비공,
림보,
마닐라로프,23766.0
도라지배즙,3024418.0
곤약밥,5915177.0
전투식량,1236744.0
비비고만두,331036.0
비비고사골곰탕,267900.0
고메소바바치킨,121583.0
AB슬라이드,6113334.0
무게조절덤벨,3026007.0
문틀철봉,4449265.0
자이로볼,1315313.0
스파인코렉터,4049194.0
토삭스,1800522.0
소함소함,1221851.0
힐리스,137666.0
두발킥보드,1337075.0
핑거보드,197733.0
문워커스,
휠리스,137666.0
힐리스운동화,73750.0
바퀴달린신발,383854.0
오토바이방한토시,1644347.0
오토바이방한복,1627972.0
존테스350D,753229.0
키즈풋살화,1303811.0
아디다스풋살화,1168566.0
나이키더플백,3361673.0
토트넘유니폼,898483.0
이강인유니폼,870415.0
축구바람막이,414770.0
유소년야구화,678789.0
야구바지,174983.0
야구바람막이,188837.0
야구풀오버,38329.0
인조잔디야구화,539589.0
인조잔디화,727105.0
야구공케이스,26526.0
축구공가방,762865.0
농구공가방,572530.0
윌슨농구공,1058038.0
피구공,1039183.0
미즈노배구화,659291.0
아식스배구화,180550.0
미카사배구공,255016.0
스타배구공,848916.0
빅발리볼,
탁구화,4898444.0
미즈노탁구화,3293950.0
탁구복상의,239376.0
엑시옴탁구복,430797.0
탁구가방,81254.0
탁구유니폼,353579.0
탁구라켓케이스,25000.0
아식스탁구화,51575.0
버터플라이탁구복,368420.0
버터플라이탁구화,1907555.0
탁구네트,147962.0
테너지05,680145.0
미즈노배드민턴화,2034714.0
돌아오는셔틀콕,18150.0
요넥스배드민턴화,2721251.0
요넥스티셔츠,
요넥스바람막이,138138.0
셀프배드민턴,59583.0
요넥스가방,489424.0
혼자배드민턴,18150.0
윌슨테니스가방,430787.0
아디다스테니스화,1053611.0
테니스장갑,181187.0
요넥스테니스화,1019072.0
키모니그립,182248.0
스타족구화,1448666.0
족구공,928111.0
족구화,1323708.0
조이킥족구화,385022.0
족구네트,228824.0
낫소족구화,370970.0
조이킥,356446.0
조이킥스포츠,
볼링아대,1107388.0
볼링가방,1062045.0
볼링티,116261.0
볼링티셔츠,110568.0
볼링매니아,22400.0
볼링볼타올,82392.0
볼링백,1445812.0
수중랜턴,3221666.0
작살,
핀삭스,914987.0
