relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
대파크림치즈,10330.0,1375.0,0.13,17500.0,528041.0,9,3,2,5,36,2,2,0,983,24
열반사단열재,5750.0,8235.0,1.43,48356.0,528275.0,2,5,27,6,15,2,18,5,22774,569
맥세이프실리콘케이스,1470.0,92439.0,62.88,33779.0,528374.0,2,0,12,10,13,5,19,3,13854,346
에어프라이어용기,2730.0,41153.0,15.07,12648.0,528417.0,2,5,5,3,16,2,15,7,26171,654
커트보,2390.0,58518.0,24.48,11314.0,528460.0,9,7,18,6,11,4,19,6,20997,524
에뛰드마스카라,8310.0,1909.0,0.23,7960.0,528570.0,4,4,8,11,19,0,12,9,61765,1544
새우깡,17650.0,33207.0,1.88,10908.0,528866.0,2,6,12,8,13,3,10,14,221312,5532
RMR,2150.0,15738.0,7.32,29123.0,529194.0,0,2,8,1,36,2,2,0,502,12
돼지등뼈,13060.0,2478.0,0.19,10279.0,529487.0,2,7,18,12,7,4,18,11,46600,1165
S펜크리에이터에디션,2150.0,30.0,0.01,94084.0,529625.0,2,0,2,29,34,0,0,0,19,0
마끼다호환배터리,1360.0,62895.0,46.25,45715.0,529655.0,2,8,22,6,23,6,11,0,4356,108
플렉시리드줄,1240.0,16792.0,13.54,34242.0,529964.0,3,4,4,2,25,4,8,3,27632,690
어린이피아노,2350.0,84828.0,36.1,63060.0,530044.0,3,1,14,2,30,5,5,0,2011,50
우곡생주,6120.0,65.0,0.01,21928.0,530063.0,3,0,12,24,28,1,10,1,7670,191
담금주병,6210.0,55271.0,8.9,8980.0,530202.0,2,5,11,2,18,3,12,7,82657,2066
마일드참치,2130.0,21417.0,10.05,11869.0,530406.0,2,2,12,10,18,3,11,8,33621,840
패딩하네스,1590.0,69168.0,43.5,25420.0,530425.0,6,3,15,0,16,5,16,3,15397,384
키즈털크록스,10730.0,11762.0,1.1,33190.0,530665.0,3,1,14,1,26,3,9,2,4773,119
듀라셀AA,1570.0,14198.0,9.04,13144.0,530755.0,1,1,19,13,8,8,15,9,111568,2789
톤핏선선쿠션,1640.0,80.0,0.05,29151.0,530766.0,8,4,0,28,39,1,0,0,69,1
말따라하는인형,1550.0,7104.0,4.58,18996.0,530920.0,2,8,10,2,25,2,8,5,34304,857
외벽페인트,2200.0,72152.0,32.8,46999.0,530948.0,7,10,18,5,19,4,15,2,11021,275
지포어모자,7780.0,28091.0,3.61,48010.0,530950.0,2,3,3,3,37,1,2,0,743,18
전지분유,7140.0,4316.0,0.6,11284.0,531123.0,3,1,10,24,18,3,14,5,13221,330
아침애사료,3360.0,12004.0,3.57,25212.0,531158.0,3,2,22,8,20,1,13,6,21379,534
자동차고체왁스,1290.0,11362.0,8.81,24617.0,531177.0,2,3,3,5,17,3,13,7,22113,552
사운드바거치대,6160.0,15464.0,2.51,23788.0,531187.0,9,4,20,7,29,3,7,1,5517,137
대마도자전거대여,1040.0,7.0,0.01,18858.0,531300.0,0,5,2,0,5,1,1,0,234,33
에너자이저건전지,3520.0,82918.0,23.56,11386.0,531513.0,0,1,17,4,7,4,21,8,43704,1092
자동급유기,5280.0,51673.0,9.79,75985.0,531711.0,3,4,11,0,35,1,3,1,2076,51
야구방망이,2700.0,87804.0,32.52,30561.0,531852.0,2,4,5,1,29,1,9,1,4697,117
못난이당근,2070.0,1000.0,0.48,15187.0,531907.0,9,14,9,8,13,2,21,4,22971,574
월드컵방한화,2040.0,8050.0,3.95,28284.0,532252.0,5,5,7,2,35,1,3,1,4719,117
다이슨여행용파우치,1490.0,4742.0,3.18,24784.0,532259.0,12,6,15,5,18,6,12,4,11862,296
국산호두,2760.0,10890.0,3.95,23858.0,532352.0,23,7,9,1,16,6,10,8,21913,547
아기물놀이장난감,1020.0,61791.0,60.58,13604.0,532392.0,3,5,11,1,10,2,19,9,48231,1205
노안돋보기안경,1050.0,10503.0,10.0,14536.0,532427.0,8,5,3,1,33,2,4,1,3027,75
일회용샤워타올,2880.0,12402.0,4.31,10753.0,532429.0,3,3,9,0,19,5,13,3,9674,241
전기약탕기,1970.0,44695.0,22.69,95644.0,532454.0,12,10,10,8,30,3,6,1,5924,148
가야카팀스,2320.0,1052.0,0.45,35894.0,532508.0,1,0,15,6,38,1,1,0,480,12
아세톤,9870.0,54050.0,5.48,6079.0,532575.0,6,6,4,0,6,3,20,11,38464,961
단풍콩잎,1620.0,828.0,0.51,14114.0,532609.0,12,9,6,3,13,10,13,4,19599,489
국산호두가격,1020.0,10890.0,10.68,24668.0,532765.0,24,7,8,1,17,6,9,8,21811,545
속눈썹글루,4400.0,19992.0,4.54,11457.0,532823.0,4,11,22,3,15,4,17,4,26750,668
유아매니큐어,1420.0,6902.0,4.86,10062.0,532877.0,12,17,7,3,10,4,17,9,28293,707
전기장판커버,3510.0,34331.0,9.78,23712.0,533020.0,9,6,5,1,23,5,10,2,8882,222
코코넛과육,1240.0,986.0,0.8,25451.0,533183.0,10,2,0,18,40,0,0,0,52,1
블루베리묘목,3900.0,6055.0,1.55,19133.0,533266.0,17,3,10,1,23,4,10,3,22634,565
레이저마우스패드,2690.0,25282.0,9.4,42222.0,533278.0,2,4,14,9,10,6,19,5,15733,393
조인트서포트,2590.0,17507.0,6.76,51482.0,533351.0,8,8,8,15,25,4,8,3,13602,340
다우니건조기시트,3190.0,2558.0,0.8,35167.0,533377.0,12,7,6,14,27,4,7,2,5461,136
로트링600,2770.0,8039.0,2.9,36046.0,533622.0,2,4,4,2,34,3,2,1,2326,58
산야초,5080.0,9935.0,1.96,8452.0,533638.0,0,1,6,2,27,2,8,3,30008,750
천마차,16830.0,34068.0,2.02,16718.0,533642.0,1,10,8,16,11,6,10,13,50678,1266
대형견패딩,7940.0,85036.0,10.71,24378.0,533642.0,4,9,14,0,19,1,17,3,15293,382
PB1,5400.0,21597.0,4.0,12997.0,533661.0,1,5,22,10,7,7,17,9,20201,505
강아지넥카라,10500.0,77324.0,7.36,10237.0,533695.0,3,10,8,0,6,1,23,10,55964,1399
고죠사토루피규어,4060.0,15733.0,3.88,39757.0,533739.0,6,12,14,0,34,5,1,0,833,20
스마트도어벨,1130.0,40570.0,35.9,66185.0,533785.0,3,3,1,1,35,2,3,0,1347,33
그랜저IG에어컨필터,1420.0,15333.0,10.8,17850.0,533939.0,4,7,17,5,3,7,21,9,44639,1115
차콜스타터,5420.0,14306.0,2.64,21737.0,533992.0,2,0,5,1,20,4,14,2,10073,251
돌미역,1800.0,7286.0,4.05,25196.0,534336.0,18,7,12,3,13,4,22,1,13783,344
서울베이킹원데이클래스,3150.0,364.0,0.12,52441.0,534363.0,6,2,32,0,26,2,12,0,2924,73
서울베이킹클래스,1320.0,369.0,0.28,52835.0,534363.0,6,2,32,0,25,2,13,0,3204,80
