relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
앱코키보드,14530.0,40613.0,2.8,73669.0,548445.0
키즈경량패딩,28730.0,76995.0,2.68,76983.0,1002830.0
후쿠오카버스투어,22720.0,546.0,0.02,58505.0,7110358.0
식전영상,27600.0,432.0,0.02,33231.0,1019754.0
꾸셀베이스오리지널,2270.0,346.0,0.15,27540.0,6445.0
마라톤싱글렛,1670.0,26159.0,15.66,25478.0,507494.0
스포벨러닝벨트,1550.0,7.0,0.0,19800.0,12279300.0
러닝클래스,1050.0,2413.0,2.3,40176.0,6625.0
당구장갑,3410.0,65464.0,19.2,11295.0,297510.0
당구그립,1230.0,28554.0,23.21,11905.0,282105.0
당구큐가방,1380.0,62851.0,45.54,90187.0,466289.0
쿠드롱팁,1160.0,2453.0,2.11,20698.0,275170.0
당구초크,1220.0,40872.0,33.5,20793.0,243042.0
2인3각,2100.0,6320.0,3.01,11571.0,20160.0
피클볼,12490.0,105207.0,8.42,53666.0,186700.0
리듬체조리본,1410.0,17092.0,12.12,10142.0,45627.0
뉴스포츠,4170.0,62921.0,15.09,50965.0,179377.0
패드민턴,3790.0,29784.0,7.86,15448.0,64133.0
마닐라로프,1780.0,10269.0,5.77,47269.0,23766.0
도라지배즙,27170.0,50598.0,1.86,24797.0,3024418.0
곤약밥,23030.0,60862.0,2.64,22036.0,5915177.0
전투식량,25430.0,35773.0,1.41,10478.0,1236744.0
비비고만두,21690.0,92894.0,4.28,17987.0,331036.0
비비고사골곰탕,24430.0,20386.0,0.83,12088.0,267900.0
고메소바바치킨,13580.0,9302.0,0.68,21421.0,121583.0
AB슬라이드,21600.0,62404.0,2.89,18009.0,6113334.0
무게조절덤벨,10640.0,28411.0,2.67,98797.0,3026007.0
문틀철봉,11010.0,79960.0,7.26,21892.0,4449265.0
자이로볼,13610.0,36634.0,2.69,10981.0,1315313.0
스파인코렉터,12080.0,15080.0,1.25,60947.0,4049194.0
토삭스,12110.0,67842.0,5.6,6286.0,1800522.0
소함소함,9760.0,66.0,0.01,30759.0,1221851.0
힐리스,5290.0,40131.0,7.59,43153.0,137666.0
두발킥보드,4710.0,44035.0,9.35,97160.0,1337075.0
핑거보드,3420.0,99140.0,28.99,16671.0,197733.0
휠리스,4010.0,54692.0,13.64,46356.0,137666.0
힐리스운동화,2250.0,26156.0,11.62,53913.0,73750.0
바퀴달린신발,1960.0,67235.0,34.3,46233.0,383854.0
오토바이방한토시,9300.0,97105.0,10.44,25468.0,1644347.0
오토바이방한복,9620.0,99034.0,10.29,66937.0,1627972.0
존테스350D,9980.0,3599.0,0.36,67326.0,753229.0
키즈풋살화,8370.0,59270.0,7.08,46746.0,1303811.0
아디다스풋살화,20310.0,85563.0,4.21,76939.0,1168566.0
나이키더플백,17560.0,31488.0,1.79,42754.0,3361673.0
토트넘유니폼,24440.0,13798.0,0.56,52669.0,898483.0
