relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
대파크림치즈,9,3,2,5,36,2,2,0,983,24
열반사단열재,2,5,27,6,15,2,18,5,22774,569
맥세이프실리콘케이스,2,0,12,10,13,5,19,3,13854,346
에어프라이어용기,2,5,5,3,16,2,15,7,26171,654
커트보,9,7,18,6,11,4,19,6,20997,524
에뛰드마스카라,4,4,8,11,19,0,12,9,61765,1544
새우깡,2,6,12,8,13,3,10,14,221312,5532
RMR,0,2,8,1,36,2,2,0,502,12
돼지등뼈,2,7,18,12,7,4,18,11,46600,1165
S펜크리에이터에디션,2,0,2,29,34,0,0,0,19,0
마끼다호환배터리,2,8,22,6,23,6,11,0,4356,108
플렉시리드줄,3,4,4,2,25,4,8,3,27632,690
어린이피아노,3,1,14,2,30,5,5,0,2011,50
우곡생주,3,0,12,24,28,1,10,1,7670,191
담금주병,2,5,11,2,18,3,12,7,82657,2066
마일드참치,2,2,12,10,18,3,11,8,33621,840
패딩하네스,6,3,15,0,16,5,16,3,15397,384
키즈털크록스,3,1,14,1,26,3,9,2,4773,119
듀라셀AA,1,1,19,13,8,8,15,9,111568,2789
톤핏선선쿠션,8,4,0,28,39,1,0,0,69,1
말따라하는인형,2,8,10,2,25,2,8,5,34304,857
외벽페인트,7,10,18,5,19,4,15,2,11021,275
지포어모자,2,3,3,3,37,1,2,0,743,18
전지분유,3,1,10,24,18,3,14,5,13221,330
아침애사료,3,2,22,8,20,1,13,6,21379,534
자동차고체왁스,2,3,3,5,17,3,13,7,22113,552
사운드바거치대,9,4,20,7,29,3,7,1,5517,137
대마도자전거대여,0,5,2,0,5,1,1,0,234,33
에너자이저건전지,0,1,17,4,7,4,21,8,43704,1092
자동급유기,3,4,11,0,35,1,3,1,2076,51
야구방망이,2,4,5,1,29,1,9,1,4697,117
못난이당근,9,14,9,8,13,2,21,4,22971,574
월드컵방한화,5,5,7,2,35,1,3,1,4719,117
다이슨여행용파우치,12,6,15,5,18,6,12,4,11862,296
국산호두,23,7,9,1,16,6,10,8,21913,547
아기물놀이장난감,3,5,11,1,10,2,19,9,48231,1205
노안돋보기안경,8,5,3,1,33,2,4,1,3027,75
일회용샤워타올,3,3,9,0,19,5,13,3,9674,241
전기약탕기,12,10,10,8,30,3,6,1,5924,148
가야카팀스,1,0,15,6,38,1,1,0,480,12
아세톤,6,6,4,0,6,3,20,11,38464,961
단풍콩잎,12,9,6,3,13,10,13,4,19599,489
국산호두가격,24,7,8,1,17,6,9,8,21811,545
속눈썹글루,4,11,22,3,15,4,17,4,26750,668
유아매니큐어,12,17,7,3,10,4,17,9,28293,707
전기장판커버,9,6,5,1,23,5,10,2,8882,222
코코넛과육,10,2,0,18,40,0,0,0,52,1
블루베리묘목,17,3,10,1,23,4,10,3,22634,565
레이저마우스패드,2,4,14,9,10,6,19,5,15733,393
조인트서포트,8,8,8,15,25,4,8,3,13602,340
다우니건조기시트,12,7,6,14,27,4,7,2,5461,136
로트링600,2,4,4,2,34,3,2,1,2326,58
산야초,0,1,6,2,27,2,8,3,30008,750
천마차,1,10,8,16,11,6,10,13,50678,1266
대형견패딩,4,9,14,0,19,1,17,3,15293,382
PB1,1,5,22,10,7,7,17,9,20201,505
강아지넥카라,3,10,8,0,6,1,23,10,55964,1399
고죠사토루피규어,6,12,14,0,34,5,1,0,833,20
스마트도어벨,3,3,1,1,35,2,3,0,1347,33
그랜저IG에어컨필터,4,7,17,5,3,7,21,9,44639,1115
차콜스타터,2,0,5,1,20,4,14,2,10073,251
돌미역,18,7,12,3,13,4,22,1,13783,344
서울베이킹원데이클래스,6,2,32,0,26,2,12,0,2924,73
서울베이킹클래스,6,2,32,0,25,2,13,0,3204,80
휘슬러믹싱볼,7,3,5,2,30,4,6,0,2730,68
브이가드PPF,0,1,38,1,20,11,8,1,4637,115
스마트포인터,1,5,10,9,20,4,15,1,10138,253
쥐퇴치기,11,10,5,14,25,3,12,0,3755,93
포터필터바스켓,3,6,30,1,7,5,25,3,17468,436
코스트코버터,0,0,19,1,26,2,10,2,6412,160
복싱핸드랩,7,3,11,0,19,7,12,2,7811,195
아모스트리트먼트,1,4,12,10,25,2,9,4,14325,358
맛술,2,1,13,16,17,4,14,5,20475,511
LDW931,17,4,2,17,36,0,3,1,2039,50
비지북,2,7,0,3,39,0,1,0,279,6
강아지후코이단,9,9,16,5,24,3,11,2,5697,142
냉장고냄새,4,6,9,5,12,6,14,8,22389,559
코안다스무딩드라이어,18,6,5,11,30,3,7,0,2230,55
오토바이컵홀더,3,2,12,0,19,5,13,3,9488,237
클리오아이브로우,3,7,5,16,20,1,11,8,25450,636
논슬립바지걸이,1,9,15,3,1,3,12,24,146952,3673
아이브스티커,8,11,1,8,34,2,3,1,2532,63
연근칩,5,11,10,14,17,3,13,7,24932,623
건조매생이,6,3,16,15,5,5,20,10,47387,1184
보성홍차아이스티,0,0,2,1,31,3,3,3,9362,234
시사모,2,4,18,16,10,3,17,10,63922,1598
붙이는자석보드,4,16,15,5,17,0,10,13,52361,1309
삼성아로마시트,6,13,8,11,24,3,9,4,13624,340
타임허브,8,16,14,2,15,11,9,5,28332,708
온열데스크매트,9,12,9,8,23,4,12,1,4872,121
말하는선인장,1,4,7,1,29,1,7,3,20886,522
타코야끼기계,12,5,3,3,34,1,4,1,2845,71
생도라지,8,13,12,7,11,3,22,4,20767,519
스와들미,1,0,4,3,34,0,4,2,8532,213
세차버킷,1,3,4,2,12,1,21,6,41578,1039
태권도도복,0,1,11,2,30,4,6,0,2243,56
물고기장난감,3,7,13,0,14,5,12,9,22934,573
홍삼절편,3,4,15,0,10,7,18,5,19955,498
홍삼정과,11,3,15,2,8,2,25,5,21785,544
DDR38GB,6,8,8,18,30,3,5,2,6847,171
헬로키티팝업티슈,2,0,5,29,13,3,14,10,88530,2213
테라맥주,10,9,5,4,20,9,11,0,5191,129
폴햄키즈바지,1,2,7,1,37,2,1,0,1252,31
레트로계산기,8,9,5,2,29,2,9,0,2417,60
BMW도어라이트,11,6,11,12,24,5,9,2,5650,141
전어회,9,9,7,15,30,3,5,2,6929,173
아몬드브리즈언스위트,3,5,5,25,18,1,12,9,120221,3005
자동차빠데,5,5,6,16,18,3,14,5,20487,512
아이오페선크림,5,9,13,10,31,1,5,3,26199,654
참존기초세트,2,8,18,12,28,6,6,0,3668,91
미아방지가방,7,2,7,0,24,2,11,3,8564,214
제주천혜향,9,4,18,9,18,8,7,7,42373,1059
닌텐도스위치가방,2,11,17,5,11,6,17,6,71881,1797
세계전도,11,7,20,1,15,1,17,7,35291,882
아령7KG,1,8,7,6,13,6,13,8,61986,1549
갸프,1,1,3,0,31,3,6,0,2453,61
가프,1,1,3,0,31,3,6,0,2453,61
자동차시트교체,16,5,10,8,28,2,6,4,11125,278
깐녹두,2,4,17,17,11,2,20,7,29882,747
인조잔디야구화,6,2,9,0,34,3,3,0,1561,39
인천공항고프로대여,8,4,19,2,24,1,8,0,3262,98
볏짚,15,9,5,1,27,2,8,3,7389,184
콤비타프로폴리스스프레이,7,6,18,7,24,2,11,3,8019,200
테니스뎀프너,9,0,12,2,20,7,12,1,5704,142
부쉬넬케이스,5,4,4,3,35,2,2,1,2336,58
의자등받이커버,3,7,5,1,21,4,9,6,23545,588
벨보아,0,11,1,0,22,2,13,3,11291,282
문스와치스트랩,7,7,4,1,27,5,8,0,2692,67
스리라차,3,7,13,13,18,6,10,6,47896,1197
대한민국전도,7,9,9,15,28,2,7,3,16414,410
쏘서대여,5,10,25,0,17,4,11,8,32375,809
메타퀘스트3악세사리,0,0,38,2,36,3,1,0,891,22
반코르맥주효모샴푸,12,10,8,9,36,1,2,1,30631,765
베이컨칩,1,2,5,3,33,1,6,0,1354,33
거북이쉼터,2,10,5,1,25,5,9,1,5568,139
코리안좀비에너지드링크,3,0,4,31,39,1,0,0,89,2
K2작업복,4,3,20,0,37,1,2,0,612,15
순살갈치,6,4,11,19,19,5,11,5,19854,496
방수코팅제,0,3,11,2,14,6,14,6,15690,392
극세사가운,5,7,2,1,21,3,13,3,10227,255
액상마그네슘,8,1,13,14,29,4,6,1,5548,138
주짓수래쉬가드,3,0,3,0,36,0,4,0,1188,29
미니보냉가방,8,5,10,3,18,2,17,3,10427,260
거봉포도,12,6,13,9,22,3,10,5,15731,393
식당유니폼,1,0,8,0,34,2,4,0,1193,29
울란지삼각대,1,1,4,4,15,1,17,7,25563,639
도로명주소판,5,7,4,1,25,4,8,3,5483,137
차앤박코팩,8,5,6,17,26,2,11,1,18388,459
풀드포크,9,4,14,1,26,3,8,3,8557,213
개미키우기,4,3,3,0,31,2,7,0,3243,81
클리오아이라이너,2,3,10,16,16,3,13,8,45778,1144
락앤락쌀냉장고,11,3,3,8,36,2,2,0,620,15
도징링,3,1,11,1,26,1,11,2,6067,151
환타제로,1,4,9,24,30,0,7,3,9381,234
멜로디언,1,2,5,2,30,2,6,2,8990,224
얼굴마사지크림,15,7,9,9,26,5,7,2,7111,177
피스타치오페이스트,5,1,16,4,32,4,4,0,1293,32
피비원,1,4,23,10,7,6,18,9,20309,507
맥세이프스티커,4,7,9,10,9,3,20,8,27479,686
화장실줄눈,10,5,12,3,12,5,11,12,60579,1514
타트체리,4,4,6,11,5,2,16,17,85386,2134
나이키넥워머,3,7,18,8,26,4,7,3,7249,181
낼나타이머,1,1,2,12,16,0,1,0,253,14
스마트태그2,3,0,13,23,30,3,6,1,4361,109
이케아주방놀이,5,8,13,1,30,1,6,3,7663,191
라부르켓립밤,13,0,8,15,37,0,2,1,10291,257
인형키링만들기,14,2,5,2,32,2,4,2,4061,101
후이펑스리라차소스,3,13,14,10,28,2,7,3,38692,967
남자부분가발,1,8,2,0,36,2,2,0,1242,31
코닥필름,2,10,15,2,14,1,14,11,48948,1223
WPC우양산,11,8,6,0,34,2,3,1,3872,96
유기질비료,7,3,14,1,17,4,16,3,14019,350
아디다스골프화징,6,6,10,18,20,7,7,6,13530,338
고피쉬,0,0,2,0,39,0,1,0,304,7
산들바람김치,1,0,16,23,25,3,11,1,5433,135
아이프리FX500,8,1,0,27,39,0,0,1,4158,103
링고벨,1,2,3,0,34,3,3,0,1423,35
