relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
RMR,2150.0,15738.0,7.32,29123.0,529194.0,0,2,8,1,36,2,2,0,502,12,32,3,5,0
플렉시리드줄,1240.0,16792.0,13.54,34242.0,529964.0,3,4,4,2,25,4,8,3,27632,690,36,2,2,0
대마도자전거대여,1040.0,7.0,0.01,18858.0,531300.0,0,5,2,0,5,1,1,0,234,33,6,1,0,0
야구방망이,2700.0,87804.0,32.52,30561.0,531852.0,2,4,5,1,29,1,9,1,4697,117,34,3,3,0
월드컵방한화,2040.0,8050.0,3.95,28284.0,532252.0,5,5,7,2,35,1,3,1,4719,117,35,1,4,0
노안돋보기안경,1050.0,10503.0,10.0,14536.0,532427.0,8,5,3,1,33,2,4,1,3027,75,33,2,5,0
일회용샤워타올,2880.0,12402.0,4.31,10753.0,532429.0,3,3,9,0,19,5,13,3,9674,241,24,8,8,0
전기장판커버,3510.0,34331.0,9.78,23712.0,533020.0,9,6,5,1,23,5,10,2,8882,222,33,3,4,0
로트링600,2770.0,8039.0,2.9,36046.0,533622.0,2,4,4,2,34,3,2,1,2326,58,37,1,2,0
산야초,5080.0,9935.0,1.96,8452.0,533638.0,0,1,6,2,27,2,8,3,30008,750,32,4,4,0
스마트도어벨,1130.0,40570.0,35.9,66185.0,533785.0,3,3,1,1,35,2,3,0,1347,33,38,0,2,0
차콜스타터,5420.0,14306.0,2.64,21737.0,533992.0,2,0,5,1,20,4,14,2,10073,251,36,1,3,0
휘슬러믹싱볼,2390.0,535.0,0.22,84802.0,534814.0,7,3,5,2,30,4,6,0,2730,68,34,3,3,0
보성홍차아이스티,2290.0,7430.0,3.24,15679.0,536216.0,0,0,2,1,31,3,3,3,9362,234,37,1,2,0
말하는선인장,4620.0,4519.0,0.98,15195.0,537148.0,1,4,7,1,29,1,7,3,20886,522,34,1,4,1
세차버킷,4970.0,103873.0,20.9,10589.0,537419.0,1,3,4,2,12,1,21,6,41578,1039,32,3,5,0
폴햄키즈바지,3450.0,21255.0,6.16,14972.0,539096.0,1,2,7,1,37,2,1,0,1252,31,35,2,3,0
레트로계산기,1820.0,17921.0,9.85,15926.0,539244.0,8,9,5,2,29,2,9,0,2417,60,26,2,10,2
미아방지가방,3780.0,28425.0,7.52,27318.0,539429.0,7,2,7,0,24,2,11,3,8564,214,23,6,10,1
갸프,1600.0,52881.0,33.05,18606.0,539575.0,1,1,3,0,31,3,6,0,2453,61,37,2,1,0
가프,2160.0,52881.0,24.48,18470.0,539575.0,1,1,3,0,31,3,6,0,2453,61,37,2,1,0
인조잔디야구화,1380.0,5258.0,3.81,67315.0,539589.0,6,2,9,0,34,3,3,0,1561,39,37,1,2,0
볏짚,12930.0,93772.0,7.25,25431.0,539892.0,15,9,5,1,27,2,8,3,7389,184,31,4,5,0
의자등받이커버,1260.0,97150.0,77.1,10351.0,540532.0,3,7,5,1,21,4,9,6,23545,588,23,7,10,0
벨보아,11900.0,44736.0,3.76,11598.0,540576.0,0,11,1,0,22,2,13,3,11291,282,28,1,8,3
문스와치스트랩,1090.0,5564.0,5.1,24466.0,540577.0,7,7,4,1,27,5,8,0,2692,67,28,4,8,0
거북이쉼터,1520.0,36910.0,24.28,17509.0,541382.0,2,10,5,1,25,5,9,1,5568,139,33,3,4,0
극세사가운,3760.0,83426.0,22.19,24532.0,542373.0,5,7,2,1,21,3,13,3,10227,255,29,1,10,0
주짓수래쉬가드,1080.0,18373.0,17.01,37837.0,542788.0,3,0,3,0,36,0,4,0,1188,29,35,3,2,0
식당유니폼,2100.0,61917.0,29.48,28397.0,543430.0,1,0,8,0,34,2,4,0,1193,29,38,0,2,0
도로명주소판,1590.0,2323.0,1.46,29645.0,543637.0,5,7,4,1,25,4,8,3,5483,137,35,2,3,0
개미키우기,3870.0,18489.0,4.78,27248.0,543726.0,4,3,3,0,31,2,7,0,3243,81,35,3,2,0
멜로디언,7660.0,38147.0,4.98,23147.0,544619.0,1,2,5,2,30,2,6,2,8990,224,38,2,0,0
인형키링만들기,3470.0,23896.0,6.89,9839.0,546050.0,14,2,5,2,32,2,4,2,4061,101,30,2,7,1
남자부분가발,1270.0,28055.0,22.09,30520.0,546351.0,1,8,2,0,36,2,2,0,1242,31,37,1,2,0
WPC우양산,1160.0,7159.0,6.17,43327.0,546504.0,11,8,6,0,34,2,3,1,3872,96,31,2,5,2
고피쉬,4000.0,37453.0,9.36,16050.0,546716.0,0,0,2,0,39,0,1,0,304,7,39,1,0,0
링고벨,2620.0,4777.0,1.82,87889.0,547433.0,1,2,3,0,34,3,3,0,1423,35,39,1,0,0
캐리어손잡이,2910.0,57627.0,19.8,15932.0,547948.0,3,5,3,0,30,3,7,0,4509,112,33,0,7,0
포맥스사육장,2010.0,4739.0,2.36,75114.0,548638.0,2,1,8,0,33,2,5,0,1814,45,36,1,3,0
야자매트,21450.0,34416.0,1.6,53008.0,549274.0,11,8,2,0,19,5,16,0,6616,165,27,3,10,0
립그립,1520.0,72253.0,47.53,14132.0,549901.0,1,0,2,1,16,3,20,1,8897,222,36,3,1,0
보청기배터리,1490.0,12666.0,8.5,11214.0,550177.0,8,5,6,2,17,4,16,3,26705,667,36,2,2,0
극세사샤워가운,1350.0,45198.0,33.48,21092.0,550271.0,2,8,2,2,21,3,13,3,10288,257,29,1,10,0
남아가디건,1370.0,31889.0,23.28,32295.0,550383.0,6,11,6,0,33,3,3,1,2467,61,28,2,10,0
칼가는기계,1820.0,78915.0,43.36,53461.0,553800.0,3,0,6,0,29,3,8,0,3529,88,35,2,3,0
아르떼펠레,1270.0,7097.0,5.59,17715.0,554059.0,4,1,6,2,34,1,5,0,1834,45,33,1,5,1
LED응원봉,1920.0,22103.0,11.51,7575.0,555210.0,8,14,3,0,18,5,11,6,34863,871,23,1,16,0
가스인두기,1180.0,39310.0,33.31,38809.0,555933.0,0,0,3,0,32,5,3,0,1235,30,39,1,0,0
가림천,1930.0,62905.0,32.59,20323.0,556345.0,5,7,4,0,19,4,12,5,14266,356,24,3,11,2
볶음고추장,5020.0,48781.0,9.72,9665.0,556513.0,1,1,6,0,23,5,8,4,10730,268,33,2,5,0
중량벨트,2180.0,27066.0,12.42,28606.0,556935.0,2,3,3,0,27,2,10,1,7871,196,37,2,1,0
TTC우레탄완충기,1340.0,7639.0,5.7,74279.0,557625.0,14,25,0,1,37,0,3,0,1211,30,36,2,1,1
보쉬열풍기,1360.0,9652.0,7.1,70062.0,557701.0,0,0,6,2,32,4,4,0,1451,36,40,0,0,0
이젤패드,1920.0,16193.0,8.43,42983.0,558411.0,0,0,5,0,34,2,4,0,1447,36,39,1,0,0
경량안전모,3480.0,48789.0,14.02,17883.0,559916.0,0,0,2,1,32,4,3,1,2133,53,38,1,1,0
