relative_keyword,total_search,total_store
깔창,21960.0,1227117.0
종아리압박밴드,11230.0,80106.0
페이크삭스,5210.0,513576.0
시카크림,25760.0,85425.0
틴트,21120.0,656807.0
앰플,19130.0,668025.0
마사지젤,5230.0,94873.0
약산성샴푸,14540.0,124605.0
샴푸바,16920.0,57113.0
핸드워시,27520.0,483794.0
유무선공유기,2620.0,253116.0
복합기,20120.0,8574962.0
블루투스헤드셋,25040.0,1196896.0
사무용의자,29000.0,1890089.0
수납선반,13420.0,8704312.0
어린이마스크,10050.0,308742.0
유아마스크,12060.0,218312.0
낮잠이불,18630.0,200935.0
아기로션,12730.0,91085.0
소형마스크,4630.0,169200.0
아기크림,4170.0,101518.0
아기세제,12170.0,42876.0
어린이집생일답례품,18540.0,72496.0
결혼식답례품,28110.0,38928.0
티니핑마스크,9550.0,5338.0
골프거리측정기,29040.0,270957.0
캠핑랜턴,17580.0,4236572.0
아령,20980.0,471973.0
헤드랜턴,23980.0,885576.0
구명조끼,15700.0,597395.0
팔꿈치보호대,24490.0,338406.0
캠핑박스,14760.0,1747984.0
KF94마스크,28860.0,404717.0
덴탈마스크,25520.0,87954.0
KF94마스크새부리형,6330.0,137270.0
전담액상,22170.0,13167.0
발각질제거기,23560.0,294888.0
축하화환,26400.0,255114.0
개업화환,13910.0,166846.0
비발디파크리프트권,13580.0,245.0
꽃바구니,19770.0,307615.0
결혼식화환,14460.0,114000.0
유럽유심,14680.0,4290.0
캠핑카렌트,21950.0,1084.0
태국유심,27120.0,6156.0
비발디파크스키강습,22320.0,300.0
에어컨청소,13680.0,239082.0
오피신유니버셀불리,4120.0,4631.0
면세점립스틱,1130.0,323.0
꾸셀파운데이션,2370.0,10.0
CPB,3180.0,32367.0
꾸셀베이스오리지널,1370.0,344.0
면세점향수,4030.0,1855.0
인천공항면세점향수,2670.0,1855.0
르라보면세점,1060.0,61.0
불리목욕하는여인,10550.0,204.0
면세점향수추천,1280.0,1855.0
면세점시계,1080.0,1826.0
면세점어그,2990.0,4.0
어그면세점,2680.0,4.0
밍크엘레팡,1960.0,238.0
콜드프레임,8340.0,12430.0
다미아니귀걸이,1380.0,274.0
롱샴면세점,2030.0,31.0
면세점가방,3110.0,3278.0
인천공항면세점선글라스,1760.0,892.0
면세점선글라스,2200.0,892.0
면세점가방추천,1100.0,3278.0
면세점지갑,1130.0,750.0
인천공항면세점지갑,2100.0,
면세점캐리어,1350.0,42.0
카메라추천,9010.0,17830781.0
러닝가방,1700.0,380015.0
런닝벨트,1200.0,174288.0
러닝벨트,6490.0,174288.0
스포벨러닝벨트,1020.0,7.0
러닝용품,1560.0,709262.0
당구큐대,11080.0,154372.0
당구큐,3450.0,290628.0
당구장갑,3340.0,59891.0
당구큐가방,1500.0,59414.0
롱고니큐,2910.0,6736.0
당구그립,1230.0,26239.0
카본큐대,1030.0,48396.0
한밭큐,6100.0,7738.0
당구팁,2060.0,101831.0
쿠드롱팁,1050.0,2492.0
큐대,1640.0,155713.0
아담무사시,2170.0,746.0
무사시큐,2160.0,1742.0
중고당구대,1710.0,1378.0
게이트볼스틱,1490.0,20623.0
승마바지,2600.0,178662.0
컴파운드보우,4740.0,23899.0
2인3각,1740.0,6210.0
저글링,4420.0,26452.0
뉴스포츠,4770.0,60186.0
피클볼,11690.0,99082.0
패드민턴,3800.0,29468.0
럭비공,2430.0,23905.0
리듬체조리본,1480.0,17616.0
허들,4800.0,64705.0
마닐라로프,1580.0,9948.0
림보,3990.0,14060.0
석류즙,10260.0,42814.0
비트즙,12110.0,15077.0
다이어트쉐이크,9470.0,604662.0
저분자콜라겐,27730.0,206055.0
류신,13870.0,66581.0
시서스가루,9050.0,10600.0
피쉬콜라겐,4940.0,151083.0
가르시니아,21130.0,140107.0
석류콜라겐,5990.0,51688.0
단백질음료,25710.0,183318.0
컵밥,28060.0,199676.0
냉동도시락,11890.0,173425.0
즉석밥,9460.0,751089.0
비비고죽,5550.0,27331.0
오뚜기밥,18030.0,220481.0
비비고,25680.0,368224.0
치즈스틱,7120.0,83935.0
등산가방,27860.0,2851526.0
노스페이스바람막이,21450.0,32364.0
등산모자,14270.0,1573282.0
캠핑매트,14140.0,1690255.0
캠핑웨건,11970.0,298964.0
캐노피천막,16420.0,437364.0
천막,28150.0,1273245.0
캠핑버너,13690.0,970617.0
야전침대,25470.0,457845.0
그리들,25330.0,310535.0
캠핑화로대,10440.0,2099413.0
캠핑폴딩박스,4650.0,317684.0
장작,27070.0,684272.0
골프스타킹,8070.0,146512.0
골프패치,3710.0,96863.0
아이언커버,19760.0,376581.0
골프스윙연습기,16590.0,198928.0
여성골프웨어,25810.0,3175949.0
골프티꽂이,6490.0,103548.0
자외선차단패치,2500.0,25673.0
남성골프화,19470.0,856049.0
여성골프화,15180.0,467270.0
아디다스골프화,27980.0,164742.0
캐디백,18980.0,730071.0
골프볼마커,3870.0,292231.0
철봉,15280.0,272866.0
문틀철봉,11080.0,78114.0
치닝디핑,12880.0,32975.0
풀업밴드,10290.0,75825.0
줄넘기,25750.0,492376.0
튜빙밴드,5410.0,101926.0
마사지볼,14220.0,271278.0
로잉머신,24120.0,92095.0
악력기,15930.0,260856.0
무게조절덤벨,10700.0,27680.0
덤벨,27390.0,472295.0
루프밴드,4670.0,267890.0
푸쉬업바,10560.0,142187.0
헬스장갑,17750.0,327593.0
AB슬라이드,18630.0,59462.0
요가양말,11390.0,277380.0
요가링,9410.0,123719.0
요가바지,8050.0,683216.0
필라테스복,22600.0,216163.0
스파인코렉터,11620.0,14638.0
필라테스기구,11900.0,209580.0
운동매트,6030.0,281499.0
요가타올,1040.0,91307.0
토삭스,12900.0,65660.0
요가삭스,2120.0,120350.0
필라테스상의,8070.0,163592.0
헬스매트,2190.0,235128.0
인라인스케이트,16760.0,346821.0
롤러블레이드,1640.0,49236.0
인라인,4800.0,669309.0
K2인라인스케이트,1500.0,15123.0
인라인가방,1010.0,105675.0
K2인라인,1380.0,15423.0
롤러브레이드,2650.0,49236.0
스케이트보드,16690.0,1119752.0
롱보드,7540.0,191997.0
롤러스케이트,16140.0,417184.0
킥보드,27860.0,1081897.0
힐리스,5620.0,37792.0
롤러슈즈,2580.0,196183.0
두발킥보드,3740.0,42289.0
핑거보드,3390.0,91800.0
휠리스,4060.0,51380.0
힐리스운동화,2470.0,24469.0
전동보드,2770.0,678955.0
전동스케이트보드,1790.0,115950.0
나인봇,4160.0,97438.0
퀵보드,5910.0,1081897.0
성인킥보드,1630.0,147947.0
바퀴달린신발,1890.0,63447.0
보드,15720.0,22892016.0
전기스쿠터,24000.0,1535107.0
헬멧블루투스,3880.0,274766.0
오토바이헬멧,20890.0,2027938.0
전동스쿠터,15900.0,894454.0
전기오토바이,22710.0,1525236.0
오토바이장갑,14990.0,955400.0
헬멧,18300.0,3783270.0
스쿠터,28670.0,16440581.0
오토바이블랙박스,6870.0,77971.0
오토바이블루투스,2590.0,347218.0
홍진헬멧,12490.0,49937.0
겨울오토바이장갑,3140.0,374323.0
바이크헬멧,4000.0,724433.0
탑박스,5610.0,309848.0
세나50S,6700.0,4242.0
골키퍼장갑,23950.0,177033.0
아디다스축구화,23800.0,140475.0
아디다스풋살화,18090.0,83229.0
더플백,20790.0,621876.0
미즈노풋살화,29270.0,34963.0
나이키풋살화,28450.0,63365.0
나이키더플백,16800.0,30738.0
헬스가방,16210.0,431835.0
축구유니폼,23820.0,365163.0
미즈노축구화,19430.0,61327.0
키즈풋살화,7820.0,55163.0
주니어풋살화,3460.0,44106.0
주니어축구화,3360.0,55850.0
팀조끼,2700.0,39364.0
운동가방,14410.0,599260.0
축구양말,9690.0,216308.0
야구바지,1900.0,64340.0
야구화,5610.0,124793.0
야구글러브,16180.0,357579.0
기아타이거즈유니폼,2930.0,267.0
배팅장갑,2900.0,110835.0
야구공,8810.0,142942.0
인조잔디야구화,1350.0,5084.0
야구가방,2960.0,305366.0
야구배트,7560.0,198215.0
글러브,12530.0,1731132.0
유소년야구화,1240.0,5281.0
나이키야구화,2480.0,15645.0
인조잔디화,1060.0,11330.0
투수글러브,3280.0,54592.0
야구헬멧,2100.0,128359.0
기아유니폼,1750.0,427.0
야구양말,1530.0,35513.0
포수미트,3570.0,25354.0
야구배팅장갑,1670.0,109304.0
야구공케이스,2310.0,9486.0
농구화,21820.0,651033.0
나이키농구화,14010.0,259904.0
농구공,21770.0,386592.0
축구공가방,3720.0,63067.0
농구골대,5140.0,117930.0
루카1,2570.0,13849.0
나이키업템포,5090.0,21218.0
조던,22220.0,892491.0
언더아머농구화,3040.0,12949.0
농구공가방,1840.0,100277.0
