relative_keyword,total_search
크록스,623400.0
나이키운동화,285000.0
실내화,57900.0
양말,153100.0
캐리어,241000.0
운동화,144200.0
에코백,82400.0
남자양말,30890.0
안전화,101900.0
14K귀걸이,55890.0
백팩,135700.0
슬리퍼,82000.0
카드지갑,121800.0
14K목걸이,33520.0
깔창,21960.0
양산,46400.0
크로스백,121700.0
종아리압박밴드,11230.0
페이크삭스,5210.0
우산,33680.0
바디워시,62170.0
바디로션,103900.0
탈모샴푸,69300.0
마스크팩,56080.0
샴푸,82500.0
수분크림,64300.0
시카크림,25760.0
핸드크림,128400.0
트리트먼트,38920.0
틴트,21120.0
앰플,19130.0
헤어에센스,58800.0
마사지젤,5230.0
선크림,44090.0
크림,922300.0
약산성샴푸,14540.0
아이크림,34560.0
샴푸바,16920.0
립밤,104600.0
핸드워시,27520.0
공유기,31330.0
유무선공유기,2620.0
키보드,127600.0
외장하드,80300.0
가습기,686800.0
블루투스스피커,114000.0
스피커,77900.0
무선청소기,140000.0
로봇청소기,216500.0
탄소매트,180600.0
모니터,93900.0
블루투스이어폰,91600.0
복합기,20120.0
마우스,63100.0
에어프라이어,228000.0
헤드셋,81300.0
블루투스헤드셋,25040.0
온풍기,245800.0
무선마우스,47500.0
가열식가습기,312600.0
매트리스,137300.0
암막커튼,115700.0
선반,81000.0
디퓨저,56800.0
커튼,132900.0
게이밍의자,48200.0
러그,121900.0
행거,183500.0
베개,181600.0
컴퓨터책상,75900.0
침대,162700.0
침대프레임,100000.0
컴퓨터의자,33200.0
식탁의자,81610.0
패브릭소파가구,
발매트,41360.0
경추베개,34410.0
사무용의자,29000.0
수납선반,13420.0
이불,99000.0
어린이마스크,10050.0
유아마스크,12060.0
물티슈,99600.0
젖병소독기,31740.0
답례품,79700.0
낮잠이불,18630.0
아기로션,12730.0
층간소음매트,41120.0
카시트,43170.0
백일상대여,38380.0
소형마스크,4630.0
아기옷,39450.0
포켓몬카드,65600.0
아기크림,4170.0
아기세제,12170.0
어린이집생일답례품,18540.0
결혼식답례품,28110.0
티니핑마스크,9550.0
기저귀가방,53880.0
베베드피노,439000.0
오메가3,222100.0
콜라겐,117400.0
유산균,144900.0
비오틴,109100.0
단백질보충제,45120.0
락토페린,75530.0
사과,194700.0
홍삼,50600.0
한우,65190.0
양배추즙,55330.0
산양유단백질,46130.0
콘드로이친,157900.0
프로바이오틱스,37710.0
비타민D,136700.0
글루타치온,320700.0
단백질쉐이크,58140.0
마그네슘,96700.0
효소,66480.0
질유산균,72620.0
아르기닌,164900.0
무릎보호대,111400.0
손목보호대,63700.0
허리보호대,35900.0
핫팩,407300.0
골프거리측정기,29040.0
캠핑의자,40690.0
침낭,62180.0
캠핑랜턴,17580.0
발목보호대,33170.0
폼롤러,66240.0
요가매트,50300.0
아령,20980.0
헤드랜턴,23980.0
등산화,80300.0
캠핑테이블,39430.0
구명조끼,15700.0
팔꿈치보호대,24490.0
골프장갑,55300.0
실내자전거,78500.0
캠핑박스,14760.0
KF94마스크,28860.0
새부리형마스크,33440.0
덴탈마스크,25520.0
차량용방향제,124800.0
철제선반,44340.0
비데,115800.0
안마의자,115400.0
KF94마스크새부리형,6330.0
전담액상,22170.0
마스크,139500.0
고양이모래,33020.0
차량용핸드폰거치대,48470.0
전자담배액상,108700.0
수건,63500.0
전자담배,221000.0
강아지사료,40410.0
발각질제거기,23560.0
치약,70900.0
싱크대수전,47870.0
멀티탭,117400.0
화환,67300.0
개업화분,47850.0
근조화환,54800.0
문화상품권,171100.0
꽃배달,60600.0
축하화환,26400.0
개업화환,13910.0
비발디파크리프트권,13580.0
일본유심,104100.0
꽃바구니,19770.0
베트남유심,42200.0
결혼식화환,14460.0
신세계상품권,109400.0
유럽유심,14680.0
부산요트투어,32290.0
캠핑카렌트,21950.0
롯데월드자유이용권,161500.0
태국유심,27120.0
비발디파크스키강습,22320.0
에어컨청소,13680.0
오피신유니버셀불리,4120.0
면세점립스틱,1130.0
에스티로더면세점,580.0
꾸셀파운데이션,2370.0
설화수면세점,720.0
골든구스면세점,270.0
꾸셀리퀴드파운데이션,650.0
면세점핸드크림,980.0
면세점에스티로더,520.0
면세점설화수,560.0
CPB,3180.0
글램팜면세점,330.0
면세점립스틱추천,950.0
꾸셀베이스오리지널,1370.0
꾸셀리퀴드파운데이션100,630.0
키엘면세점,340.0
디올립글로우면세점,520.0
롯데면세점,473400.0
맥면세점,400.0
수려한골든콜라겐쿠션,230.0
면세점향수,4030.0
샤넬향수면세점,810.0
조말론향수면세점,570.0
조말론면세점,770.0
인천공항면세점향수,2670.0
딥디크면세점,950.0
르라보면세점,1060.0
조말론면세점가격,660.0
면세점조말론,630.0
면세점샤넬향수,530.0
불리목욕하는여인,10550.0
톰포드면세점,350.0
면세점디올향수,320.0
면세점향수추천,1280.0
인천공항면세점조말론,720.0
디올향수면세점,270.0
면세점딥디크,720.0
프레데릭말면세점,440.0
크리드면세점,370.0
산타마리아노벨라면세점,420.0
면세점시계,1080.0
면세점어그,2990.0
펜디뉴콰드로,420.0
태그호이어면세점,530.0
어그면세점,2680.0
론진면세점,250.0
면세점태그호이어,130.0
티쏘면세점,270.0
캠퍼면세점,220.0
제주공항면세점시계,130.0
면세점레고,150.0
밍크엘레팡,1960.0
해밀턴면세점,170.0
프레드릭콘스탄트면세점,60.0
슈콤마보니면세점,50.0
가민면세점,300.0
레고면세점,100.0
티토니,250.0
스와치면세점,
세이코면세점,90.0
콜드프레임목걸이,760.0
다미아니면세점,730.0
면세점목걸이,870.0
골든듀면세점,560.0
면세점귀걸이,620.0
판도라면세점,270.0
콜드프레임,8340.0
스와로브스키면세점,270.0
면세점팔찌,290.0
비비안웨스트우드면세점,740.0
골든듀면세,310.0
다미아니귀걸이,1380.0
면세점스와로브스키,170.0
면세점비비안웨스트우드,440.0
면세점반지,480.0
디디에두보면세점,190.0
롯데면세점다미아니,230.0
인천공항면세점목걸이,370.0
비비안웨스트우드목걸이면세점,140.0
면세점다미아니,140.0
롱샴면세점,2030.0
면세점가방,3110.0
인천공항면세점선글라스,1760.0
면세점선글라스,2200.0
면세점백팩,750.0
만다리나덕면세점,400.0
면세점롱샴,890.0
투미면세점,620.0
캉골면세점,360.0
면세점크로스백,500.0
면세점가방추천,1100.0
면세점스카프,660.0
헬렌카민스키면세점,410.0
면세점카드지갑,860.0
면세점지갑,1130.0
로우로우면세점,350.0
면세점캉골,210.0
인천공항면세점지갑,2100.0
배럴면세점,260.0
면세점캐리어,1350.0
카메라,45460.0
면세점고프로,390.0
면세점카메라,320.0
고프로면세점,800.0
면세점면도기,360.0
카메라추천,9010.0
면세점갤럭시워치,240.0
캐논면세점,160.0
갤럭시워치면세점,240.0
면세점보조배터리,400.0
갤럭시탭면세점,
면세점캐논,
포레오면세점,130.0
보스면세점,180.0
면세점헤드셋,310.0
글램팜면세점,330.0
면세점갤럭시탭,70.0
브라운면도기면세점,110.0
면세점이어폰,170.0
면세점밥솥,100.0
면세점정관장,470.0
면세점홍삼,320.0
정관장면세점,650.0
인천공항면세점정관장,270.0
오쏘몰면세점,260.0
고디바면세점,240.0
면세점오쏘몰,350.0
오쏘몰이뮨면세점,180.0
오설록면세점,150.0
바샤커피면세점,540.0
면세점고디바,210.0
면세점김,100.0
오쏘몰면세,350.0
면세점프로폴리스,100.0
면세점오설록,40.0
네이쳐스패밀리,220.0
홍이장군면세점,
네이처스패밀리,230.0
홍삼면세점,
면세점홍이장군,
러닝가방,1700.0
런닝벨트,1200.0
러닝벨트,6490.0
플립벨트,590.0
런닝가방,900.0
러닝백,780.0
런닝백,450.0
마라톤복,410.0
마라톤싱글렛,960.0
마라톤가방,660.0
마라톤벨트,260.0
마라톤용품,860.0
러닝밴드,620.0
런닝가방러닝벨트,
스포벨러닝벨트,1020.0
러닝용품,1560.0
러너핏러닝벨트런닝벨트플립벨트그레이,
벨크로러닝벨트,140.0
네이키드러닝벨트,380.0
러닝물통,300.0
당구큐대,11080.0
당구큐,3450.0
카본큐,990.0
당구장갑,3340.0
당구큐가방,1500.0
롱고니큐,2910.0
당구가방,840.0
큐가방,810.0
당구그립,1230.0
카본큐대,1030.0
한밭큐,6100.0
당구팁,2060.0
쿠드롱팁,1050.0
큐대,1640.0
아담무사시,2170.0
무사시큐,2160.0
당구큐그립,790.0
카본상대,910.0
큐케이스,690.0
중고당구대,1710.0
게이트볼스틱,1490.0
승마바지,2600.0
줄다리기줄,660.0
컴파운드보우,4740.0
저글링공,880.0
2인3각,1740.0
제트서프,460.0
저글링,4420.0
유도매트,810.0
뉴스포츠,4770.0
피클볼,11690.0
패드민턴,3800.0
저글링볼,30.0
럭비공,2430.0
리듬체조리본,1480.0
체조매트,590.0
구르기매트,350.0
허들,4800.0
마닐라로프,1580.0
림보,3990.0
비오틴,109100.0
양배추즙,55330.0
오메가3,222100.0
홍삼,50600.0
유산균,144900.0
프로바이오틱스,37710.0
질유산균,72620.0
콘드로이친,157900.0
글루타치온,320700.0
비타민D,136700.0
밀크씨슬,125600.0
마그네슘,96700.0
효소,66480.0
세라티크,500.0
BNR17유산균,67200.0
석류즙,10260.0
비트즙,12110.0
프로폴리스,108700.0
흑염소진액,73310.0
루테인,75600.0
산양유단백질,46130.0
단백질보충제,45120.0
락토페린,75530.0
아르기닌,164900.0
콜라겐,117400.0
다이어트쉐이크,9470.0
단백질쉐이크,58140.0
저분자콜라겐,27730.0
류신,13870.0
차전자피,43190.0
시서스,35040.0
시서스가루,9050.0
모로실,50520.0
피쉬콜라겐,4940.0
다이어트,70600.0
가르시니아,21130.0
석류콜라겐,5990.0
크레아틴,46150.0
단백질음료,25710.0
MBP,36790.0
다이어트도시락,36900.0
컵밥,28060.0
햇반,122500.0
도시락,82400.0
샐러드,112000.0
갈비탕,121040.0
육개장,96400.0
누룽지,45940.0
곰탕,46650.0
만두,72530.0
다이어트식단,71900.0
냉동도시락,11890.0
즉석밥,9460.0
비비고죽,5550.0
오뚜기밥,18030.0
비비고,25680.0
비비고왕교자,31620.0
죽,51020.0
치즈스틱,7120.0
떡볶이,193700.0
핫팩,407300.0
발열조끼,169700.0
등산화,80300.0
손난로,99400.0
등산스틱,36190.0
패딩,604700.0
경량패딩,336400.0
롱패딩,549000.0
노스페이스패딩,843900.0
트레킹화,36770.0
등산가방,27860.0
충전식손난로,60700.0
디스커버리패딩,458800.0
K2패딩,343000.0
바람막이,42600.0
노스페이스눕시,568900.0
노스페이스바람막이,21450.0
등산모자,14270.0
마이핫보온대,45000.0
아이젠,63000.0
캠핑의자,40690.0
캠핑테이블,39430.0
침낭,62180.0
헤드랜턴,23980.0
캠핑랜턴,17580.0
캠핑매트,14140.0
원터치텐트,32700.0
캠핑웨건,11970.0
캠핑박스,14760.0
파워뱅크,71200.0
캐노피천막,16420.0
천막,28150.0
캠핑버너,13690.0
야전침대,25470.0
그리들,25330.0
캠핑화로대,10440.0
캠핑폴딩박스,4650.0
장작,27070.0
텐트,49890.0
구이바다,31390.0
골프스타킹,8070.0
골프공,39780.0
골프장갑,55300.0
골프패치,3710.0
골프거리측정기,29040.0
골프웨어,97300.0
골프화,42040.0
아이언커버,19760.0
골프스윙연습기,16590.0
거리측정기,37340.0
여성골프웨어,25810.0
골프모자,30800.0
골프백,34980.0
골프티꽂이,6490.0
자외선차단패치,2500.0
남성골프화,19470.0
여성골프화,15180.0
아디다스골프화,27980.0
캐디백,18980.0
골프볼마커,3870.0
런닝머신,37750.0
아령,20980.0
실내자전거,78500.0
폼롤러,66240.0
철봉,15280.0
문틀철봉,11080.0
치닝디핑,12880.0
풀업밴드,10290.0
스텝퍼,54710.0
줄넘기,25750.0
튜빙밴드,5410.0
마사지볼,14220.0
로잉머신,24120.0
악력기,15930.0
무게조절덤벨,10700.0
덤벨,27390.0
루프밴드,4670.0
푸쉬업바,10560.0
헬스장갑,17750.0
AB슬라이드,18630.0
요가양말,11390.0
필라테스양말,31050.0
요가링,9410.0
요가바지,8050.0
요가매트,50300.0
요가복,55350.0
필라테스복,22600.0
스파인코렉터,11620.0
안다르,685300.0
필라테스요가양말니삭스롱삭스논슬립,
젝시믹스,604900.0
뮬라웨어,141700.0
필라테스기구,11900.0
운동매트,6030.0
요가타올,1040.0
토삭스,12900.0
요가삭스,2120.0
필라테스상의,8070.0
헬스매트,2190.0
요가매트요가매트요가매트요가매트,
인라인스케이트,16760.0
롤러블레이드,1640.0
인라인,4800.0
