relative_keyword,total_store
깔창,1227117.0
종아리압박밴드,80106.0
페이크삭스,513576.0
시카크림,85425.0
틴트,656807.0
앰플,668025.0
마사지젤,94873.0
약산성샴푸,124605.0
샴푸바,57113.0
핸드워시,483794.0
유무선공유기,253116.0
복합기,8574962.0
블루투스헤드셋,1196896.0
사무용의자,1890089.0
수납선반,8704312.0
어린이마스크,308742.0
유아마스크,218312.0
낮잠이불,200935.0
아기로션,91085.0
소형마스크,169200.0
아기크림,101518.0
아기세제,42876.0
어린이집생일답례품,72496.0
결혼식답례품,38928.0
티니핑마스크,5338.0
골프거리측정기,270957.0
캠핑랜턴,4236572.0
아령,471973.0
헤드랜턴,885576.0
구명조끼,597395.0
팔꿈치보호대,338406.0
캠핑박스,1747984.0
KF94마스크,404717.0
덴탈마스크,87954.0
KF94마스크새부리형,137270.0
전담액상,13167.0
발각질제거기,294888.0
축하화환,255114.0
개업화환,166846.0
비발디파크리프트권,245.0
꽃바구니,307615.0
결혼식화환,114000.0
유럽유심,4290.0
캠핑카렌트,1084.0
태국유심,6156.0
비발디파크스키강습,300.0
에어컨청소,239082.0
오피신유니버셀불리,4631.0
면세점립스틱,323.0
꾸셀파운데이션,10.0
CPB,32367.0
꾸셀베이스오리지널,344.0
면세점향수,1855.0
인천공항면세점향수,1855.0
르라보면세점,61.0
불리목욕하는여인,204.0
면세점향수추천,1855.0
면세점시계,1826.0
면세점어그,4.0
어그면세점,4.0
밍크엘레팡,238.0
콜드프레임,12430.0
다미아니귀걸이,274.0
롱샴면세점,31.0
면세점가방,3278.0
인천공항면세점선글라스,892.0
면세점선글라스,892.0
면세점가방추천,3278.0
면세점지갑,750.0
인천공항면세점지갑,
면세점캐리어,42.0
카메라추천,17830781.0
러닝가방,380015.0
런닝벨트,174288.0
러닝벨트,174288.0
스포벨러닝벨트,7.0
러닝용품,709262.0
당구큐대,154372.0
당구큐,290628.0
당구장갑,59891.0
당구큐가방,59414.0
롱고니큐,6736.0
당구그립,26239.0
카본큐대,48396.0
한밭큐,7738.0
당구팁,101831.0
쿠드롱팁,2492.0
큐대,155713.0
아담무사시,746.0
무사시큐,1742.0
중고당구대,1378.0
게이트볼스틱,20623.0
승마바지,178662.0
컴파운드보우,23899.0
2인3각,6210.0
저글링,26452.0
뉴스포츠,60186.0
피클볼,99082.0
패드민턴,29468.0
럭비공,23905.0
리듬체조리본,17616.0
허들,64705.0
마닐라로프,9948.0
림보,14060.0
석류즙,42814.0
비트즙,15077.0
다이어트쉐이크,604662.0
저분자콜라겐,206055.0
류신,66581.0
시서스가루,10600.0
피쉬콜라겐,151083.0
가르시니아,140107.0
석류콜라겐,51688.0
단백질음료,183318.0
컵밥,199676.0
냉동도시락,173425.0
즉석밥,751089.0
비비고죽,27331.0
오뚜기밥,220481.0
비비고,368224.0
치즈스틱,83935.0
등산가방,2851526.0
노스페이스바람막이,32364.0
등산모자,1573282.0
헤드랜턴,885985.0
캠핑랜턴,4240450.0
캠핑매트,1690255.0
캠핑웨건,298964.0
캠핑박스,1748745.0
캐노피천막,437364.0
천막,1273245.0
캠핑버너,970617.0
야전침대,457845.0
그리들,310535.0
캠핑화로대,2099413.0
캠핑폴딩박스,317684.0
장작,684272.0
골프스타킹,146512.0
골프패치,96863.0
골프거리측정기,272344.0
아이언커버,376581.0
골프스윙연습기,198928.0
여성골프웨어,3175949.0
골프티꽂이,103548.0
자외선차단패치,25673.0
남성골프화,856049.0
여성골프화,467270.0
아디다스골프화,164742.0
캐디백,730071.0
골프볼마커,292231.0
아령,472282.0
철봉,272866.0
문틀철봉,78114.0
치닝디핑,32975.0
풀업밴드,75825.0
줄넘기,492376.0
튜빙밴드,101926.0
마사지볼,271278.0
로잉머신,92095.0
악력기,260856.0
무게조절덤벨,27680.0
덤벨,472295.0
루프밴드,267890.0
푸쉬업바,142187.0
헬스장갑,327593.0
AB슬라이드,59462.0
요가양말,277380.0
요가링,123719.0
요가바지,683216.0
필라테스복,216163.0
스파인코렉터,14638.0
필라테스기구,209580.0
운동매트,281499.0
요가타올,91307.0
토삭스,65660.0
요가삭스,120350.0
필라테스상의,163592.0
헬스매트,235128.0
인라인스케이트,346821.0
롤러블레이드,49236.0
인라인,669309.0
K2인라인스케이트,15123.0
인라인가방,105675.0
K2인라인,15423.0
롤러브레이드,49236.0
스케이트보드,1119752.0
롱보드,191997.0
롤러스케이트,417184.0
킥보드,1081897.0
힐리스,37792.0
롤러슈즈,196183.0
두발킥보드,42289.0
핑거보드,91800.0
휠리스,51380.0
힐리스운동화,24469.0
전동보드,678955.0
전동스케이트보드,115950.0
나인봇,97438.0
퀵보드,1081897.0
성인킥보드,147947.0
바퀴달린신발,63447.0
보드,22892016.0
전기스쿠터,1535107.0
헬멧블루투스,274766.0
오토바이헬멧,2027938.0
전동스쿠터,894454.0
전기오토바이,1525236.0
오토바이장갑,955400.0
헬멧,3783270.0
스쿠터,16440581.0
오토바이블랙박스,77971.0
오토바이블루투스,347218.0
홍진헬멧,49937.0
겨울오토바이장갑,374323.0
바이크헬멧,724433.0
탑박스,309848.0
세나50S,4242.0
골키퍼장갑,177033.0
아디다스축구화,140475.0
아디다스풋살화,83229.0
더플백,621876.0
미즈노풋살화,34963.0
나이키풋살화,63365.0
나이키더플백,30738.0
헬스가방,431835.0
축구유니폼,365163.0
미즈노축구화,61327.0
키즈풋살화,55163.0
주니어풋살화,44106.0
주니어축구화,55850.0
팀조끼,39364.0
운동가방,599260.0
축구양말,216308.0
야구바지,64340.0
야구화,124793.0
야구글러브,357579.0
기아타이거즈유니폼,267.0
배팅장갑,110835.0
야구공,142942.0
인조잔디야구화,5084.0
야구가방,305366.0
야구배트,198215.0
글러브,1731132.0
유소년야구화,5281.0
나이키야구화,15645.0
인조잔디화,11330.0
투수글러브,54592.0
야구헬멧,128359.0
기아유니폼,427.0
야구양말,35513.0
포수미트,25354.0
야구배팅장갑,109304.0
야구공케이스,9486.0
농구화,651033.0
나이키농구화,259904.0
농구공,386592.0
축구공가방,63067.0
농구골대,117930.0
루카1,13849.0
나이키업템포,21218.0
조던,892491.0
언더아머농구화,12949.0
농구공가방,100277.0
나이키에어조던,169942.0
조던1로우,98153.0
르브론20,4869.0
몰텐농구공,23280.0
줌프릭4,2062.0
에어조던1로우,48018.0
아디다스농구화,34440.0
농구유니폼,80337.0
업템포,22494.0
배구공,142034.0
피구공,37644.0
미즈노배구화,28835.0
아식스배구화,23224.0
배구화,118233.0
나이키배구화,2029.0
아식스스카이엘리트,3327.0
배구유니폼,16722.0
미카사배구공,5615.0
빅발리볼,3292.0
배구화추천,118229.0
탁구라켓,359666.0
탁구채,359666.0
탁구화,89997.0
미즈노탁구화,14978.0
탁구공,160446.0
탁구러버,105426.0
탁구가방,71201.0
탁구라켓케이스,34286.0
탁구대,82268.0
엑시옴탁구복,2707.0
탁구유니폼,45999.0
탁구복상의,27035.0
버터플라이탁구복,7298.0
아식스탁구화,3386.0
테너지05,6408.0
탁구용품,450617.0
버터플라이탁구화,63153.0
탁구연습기,48796.0
배드민턴의류,601404.0
배드민턴화,211212.0
배드민턴가방,232184.0
미즈노배드민턴화,34890.0
요넥스배드민턴화,41262.0
셔틀콕,218782.0
요넥스티셔츠,61583.0
배드민턴그립테이프,63897.0
배드민턴그립,169772.0
배드민턴신발,261147.0
배드민턴티셔츠,339270.0
요넥스반바지,19903.0
KBB79,419.0
요넥스배드민턴라켓,82180.0
요넥스바람막이,6376.0
아식스로테리브레,28.0
배드민턴반바지,94316.0
테크니스트티셔츠,9087.0
테니스화,381306.0
