relative_keyword,avg_price
종아리압박밴드,15833.0
시카크림,22415.0
마사지젤,23889.0
약산성샴푸,19151.0
샴푸바,12207.0
아기로션,18069.0
아기크림,20328.0
아기세제,21688.0
어린이집생일답례품,2480.0
결혼식답례품,4780.0
티니핑마스크,12726.0
덴탈마스크,7942.0
전담액상,13360.0
비발디파크리프트권,32094.0
결혼식화환,48815.0
유럽유심,11462.0
캠핑카렌트,291668.0
태국유심,4882.0
비발디파크스키강습,166177.0
오피신유니버셀불리,112718.0
면세점립스틱,65877.0
CPB,80225.0
꾸셀베이스오리지널,28260.0
면세점향수,126.0
인천공항면세점향수,125.0
르라보면세점,125.0
불리목욕하는여인,64512.0
면세점향수추천,125.0
면세점시계,768.0
밍크엘레팡,12776.0
콜드프레임,139603.0
다미아니귀걸이,3661201.0
롱샴면세점,117.0
면세점가방,137.0
인천공항면세점선글라스,155.0
면세점선글라스,150.0
면세점가방추천,151.0
면세점지갑,161.0
면세점캐리어,31144.0
당구장갑,11485.0
당구큐가방,88367.0
롱고니큐,140559.0
당구그립,10458.0
카본큐대,115400.0
한밭큐,285809.0
당구팁,22262.0
쿠드롱팁,23290.0
아담무사시,249339.0
무사시큐,163740.0
중고당구대,740352.0
게이트볼스틱,207459.0
컴파운드보우,183544.0
2인3각,18378.0
저글링,9391.0
뉴스포츠,44022.0
피클볼,48602.0
패드민턴,15647.0
럭비공,36161.0
리듬체조리본,10388.0
허들,43735.0
마닐라로프,49651.0
림보,64667.0
석류즙,21145.0
비트즙,25220.0
류신,27405.0
시서스가루,48791.0
석류콜라겐,32714.0
비비고죽,2394.0
치즈스틱,10602.0
노스페이스바람막이,155621.0
골프패치,12417.0
골프티꽂이,6030.0
자외선차단패치,10845.0
문틀철봉,22080.0
치닝디핑,122499.0
풀업밴드,6787.0
튜빙밴드,12154.0
로잉머신,251446.0
무게조절덤벨,102624.0
AB슬라이드,18906.0
요가링,10273.0
스파인코렉터,58604.0
요가타올,36700.0
토삭스,23904.0
요가삭스,4842.0
롤러블레이드,192579.0
K2인라인스케이트,223998.0
인라인가방,15104.0
K2인라인,217592.0
롤러브레이드,200841.0
힐리스,46182.0
두발킥보드,94939.0
핑거보드,16183.0
휠리스,47266.0
힐리스운동화,53666.0
전동스케이트보드,416904.0
나인봇,520058.0
바퀴달린신발,46432.0
오토바이블랙박스,137767.0
홍진헬멧,151800.0
세나50S,179130.0
아디다스풋살화,77520.0
미즈노풋살화,103200.0
나이키풋살화,83870.0
나이키더플백,43585.0
미즈노축구화,145044.0
키즈풋살화,50797.0
주니어풋살화,51822.0
주니어축구화,65149.0
팀조끼,3762.0
야구바지,26273.0
야구화,60062.0
기아타이거즈유니폼,31050.0
배팅장갑,30751.0
인조잔디야구화,76707.0
유소년야구화,54829.0
나이키야구화,123798.0
인조잔디화,63079.0
투수글러브,475299.0
야구헬멧,60578.0
기아유니폼,34144.0
야구양말,8781.0
포수미트,342449.0
야구배팅장갑,30101.0
야구공케이스,16455.0
축구공가방,13158.0
농구골대,56310.0
루카1,191232.0
나이키업템포,191236.0
언더아머농구화,115558.0
농구공가방,13071.0
조던1로우,120248.0
르브론20,208702.0
몰텐농구공,43387.0
줌프릭4,137580.0
에어조던1로우,120891.0
아디다스농구화,112844.0
농구유니폼,25109.0
업템포,139191.0
피구공,16480.0
미즈노배구화,81326.0
아식스배구화,73758.0
배구화,76214.0
나이키배구화,201146.0
아식스스카이엘리트,131912.0
배구유니폼,41272.0
미카사배구공,84205.0
빅발리볼,56590.0
배구화추천,76908.0
탁구화,88677.0
미즈노탁구화,100999.0
탁구러버,36578.0
탁구가방,42872.0
탁구라켓케이스,26071.0
탁구대,490981.0
엑시옴탁구복,47822.0
탁구유니폼,38504.0
탁구복상의,43921.0
버터플라이탁구복,51994.0
아식스탁구화,104701.0
테너지05,80856.0
버터플라이탁구화,76590.0
탁구연습기,105438.0
미즈노배드민턴화,101831.0
