relative_keyword,total_search,total_store,competitive_rate,avg_price
종아리압박밴드,11230.0,80106.0,7.133214603739982,15833.0
시카크림,25760.0,85425.0,3.316187888198758,22415.0
마사지젤,5230.0,94873.0,18.140152963671127,23889.0
약산성샴푸,14540.0,124605.0,8.56980742778542,19151.0
샴푸바,16920.0,57113.0,3.375472813238771,12207.0
아기로션,12730.0,91085.0,7.155145326001571,18069.0
아기크림,4170.0,101518.0,24.34484412470024,20328.0
아기세제,12170.0,42876.0,3.523089564502876,21688.0
어린이집생일답례품,18540.0,72496.0,3.91024811218986,2480.0
결혼식답례품,28110.0,38928.0,1.384845250800427,4780.0
티니핑마스크,9550.0,5338.0,0.5589528795811518,12726.0
덴탈마스크,25520.0,87954.0,3.446473354231975,7942.0
전담액상,22170.0,13167.0,0.5939106901217862,13360.0
비발디파크리프트권,13580.0,245.0,0.018041237113402,32094.0
결혼식화환,14460.0,114000.0,7.883817427385892,48815.0
유럽유심,14680.0,4290.0,0.2922343324250681,11462.0
캠핑카렌트,21950.0,1084.0,0.049384965831435,291668.0
태국유심,27120.0,6156.0,0.2269911504424778,4882.0
비발디파크스키강습,22320.0,300.0,0.0134408602150537,166177.0
오피신유니버셀불리,4120.0,4631.0,1.1240291262135922,112718.0
면세점립스틱,1130.0,323.0,0.2858407079646017,65877.0
CPB,3180.0,32367.0,10.178301886792452,80225.0
꾸셀베이스오리지널,1370.0,344.0,0.2510948905109489,28260.0
면세점향수,4030.0,1855.0,0.4602977667493796,126.0
인천공항면세점향수,2670.0,1855.0,0.6947565543071161,125.0
르라보면세점,1060.0,61.0,0.0575471698113207,125.0
불리목욕하는여인,10550.0,204.0,0.0193364928909952,64512.0
면세점향수추천,1280.0,1855.0,1.44921875,125.0
면세점시계,1080.0,1826.0,1.6907407407407409,768.0
밍크엘레팡,1960.0,238.0,0.1214285714285714,12776.0
콜드프레임,8340.0,12430.0,1.490407673860911,139603.0
다미아니귀걸이,1380.0,274.0,0.1985507246376811,3661201.0
롱샴면세점,2030.0,31.0,0.0152709359605911,117.0
면세점가방,3110.0,3278.0,1.0540192926045016,137.0
인천공항면세점선글라스,1760.0,892.0,0.5068181818181818,155.0
면세점선글라스,2200.0,892.0,0.4054545454545454,150.0
면세점가방추천,1100.0,3278.0,2.98,151.0
면세점지갑,1130.0,750.0,0.6637168141592921,161.0
면세점캐리어,1350.0,42.0,0.0311111111111111,31144.0
당구장갑,3340.0,59891.0,17.931437125748502,11485.0
당구큐가방,1500.0,59414.0,39.60933333333333,88367.0
롱고니큐,2910.0,6736.0,2.3147766323024057,140559.0
당구그립,1230.0,26239.0,21.33252032520325,10458.0
카본큐대,1030.0,48396.0,46.98640776699029,115400.0
한밭큐,6100.0,7738.0,1.2685245901639344,285809.0
당구팁,2060.0,101831.0,49.43252427184466,22262.0
쿠드롱팁,1050.0,2492.0,2.373333333333333,23290.0
아담무사시,2170.0,746.0,0.343778801843318,249339.0
무사시큐,2160.0,1742.0,0.8064814814814815,163740.0
중고당구대,1710.0,1378.0,0.8058479532163743,740352.0
게이트볼스틱,1490.0,20623.0,13.840939597315437,207459.0
컴파운드보우,4740.0,23899.0,5.041983122362869,183544.0
2인3각,1740.0,6210.0,3.5689655172413794,18378.0
저글링,4420.0,26452.0,5.984615384615385,9391.0
뉴스포츠,4770.0,60186.0,12.617610062893082,44022.0
피클볼,11690.0,99082.0,8.47579127459367,48602.0
패드민턴,3800.0,29468.0,7.754736842105263,15647.0
럭비공,2430.0,23905.0,9.83744855967078,36161.0
리듬체조리본,1480.0,17616.0,11.902702702702705,10388.0
허들,4800.0,64705.0,13.480208333333334,43735.0
마닐라로프,1580.0,9948.0,6.296202531645569,49651.0
림보,3990.0,14060.0,3.523809523809524,64667.0
석류즙,10260.0,42814.0,4.172904483430799,21145.0
비트즙,12110.0,15077.0,1.2450041288191578,25220.0
류신,13870.0,66581.0,4.800360490266763,27405.0
시서스가루,9050.0,10600.0,1.171270718232044,48791.0
석류콜라겐,5990.0,51688.0,8.629048414023373,32714.0
비비고죽,5550.0,27331.0,4.924504504504505,2394.0
치즈스틱,7120.0,83935.0,11.788623595505618,10602.0
노스페이스바람막이,21450.0,32364.0,1.5088111888111888,155621.0
골프패치,3710.0,96863.0,26.108625336927226,12417.0
골프티꽂이,6490.0,103548.0,15.955007704160248,6030.0
자외선차단패치,2500.0,25673.0,10.2692,10845.0
문틀철봉,11080.0,78114.0,7.05,22080.0
치닝디핑,12880.0,32975.0,2.560170807453416,122499.0
풀업밴드,10290.0,75825.0,7.368804664723032,6787.0
튜빙밴드,5410.0,101926.0,18.84029574861368,12154.0
로잉머신,24120.0,92095.0,3.818200663349917,251446.0
무게조절덤벨,10700.0,27680.0,2.586915887850467,102624.0
AB슬라이드,18630.0,59462.0,3.191733762748256,18906.0
요가링,9410.0,123719.0,13.147608926673753,10273.0
스파인코렉터,11620.0,14638.0,1.259724612736661,58604.0
요가타올,1040.0,91307.0,87.7951923076923,36700.0
토삭스,12900.0,65660.0,5.089922480620155,23904.0
요가삭스,2120.0,120350.0,56.7688679245283,4842.0
롤러블레이드,1640.0,49236.0,30.0219512195122,192579.0
K2인라인스케이트,1500.0,15123.0,10.082,223998.0
인라인가방,1010.0,105675.0,104.62871287128714,15104.0
K2인라인,1380.0,15423.0,11.17608695652174,217592.0
롤러브레이드,2650.0,49236.0,18.579622641509435,200841.0
힐리스,5620.0,37792.0,6.724555160142349,46182.0
두발킥보드,3740.0,42289.0,11.307219251336898,94939.0
핑거보드,3390.0,91800.0,27.079646017699115,16183.0
휠리스,4060.0,51380.0,12.655172413793103,47266.0
힐리스운동화,2470.0,24469.0,9.906477732793524,53666.0
전동스케이트보드,1790.0,115950.0,64.77653631284916,416904.0
나인봇,4160.0,97438.0,23.422596153846158,520058.0
바퀴달린신발,1890.0,63447.0,33.56984126984127,46432.0
오토바이블랙박스,6870.0,77971.0,11.349490538573509,137767.0
홍진헬멧,12490.0,49937.0,3.998158526821457,151800.0
세나50S,6700.0,4242.0,0.6331343283582089,179130.0
아디다스풋살화,18090.0,83229.0,4.600829187396352,77520.0
미즈노풋살화,29270.0,34963.0,1.194499487529894,103200.0
나이키풋살화,28450.0,63365.0,2.2272407732864674,83870.0
나이키더플백,16800.0,30738.0,1.829642857142857,43585.0
미즈노축구화,19430.0,61327.0,3.156304683479156,145044.0
키즈풋살화,7820.0,55163.0,7.054092071611254,50797.0
주니어풋살화,3460.0,44106.0,12.747398843930636,51822.0
주니어축구화,3360.0,55850.0,16.62202380952381,65149.0
팀조끼,2700.0,39364.0,14.57925925925926,3762.0
야구바지,1900.0,64340.0,33.863157894736844,26273.0
야구화,5610.0,124793.0,22.24474153297683,60062.0
기아타이거즈유니폼,2930.0,267.0,0.0911262798634812,31050.0
