relative_keyword,avg_sale
종아리압박밴드,2527322
시카크림,11146619
마사지젤,3608407
약산성샴푸,11624606
샴푸바,1559547
아기로션,33043479
아기크림,7729029
아기세제,3152828
티니핑마스크,952143
덴탈마스크,3698294
전담액상,21108920
비발디파크리프트권,137631
결혼식화환,14280045
유럽유심,2642775
면세점립스틱,15054
CPB,21066
꾸셀베이스오리지널,
불리목욕하는여인,420983
밍크엘레팡,
면세점캐리어,8666
당구장갑,376866
당구큐가방,662883
당구그립,255283
당구팁,481461
쿠드롱팁,411190
2인3각,6712
저글링,281927
뉴스포츠,143223
피클볼,156127
패드민턴,59200
럭비공,
리듬체조리본,50917
허들,
마닐라로프,23636
림보,
석류즙,643560
비트즙,1396777
류신,1804108
시서스가루,3397927
석류콜라겐,3830912
치즈스틱,506712
골프패치,2337954
골프티꽂이,1485907
자외선차단패치,1968843
문틀철봉,4267715
풀업밴드,2528630
튜빙밴드,2308409
AB슬라이드,5647620
요가링,629685
스파인코렉터,3545506
요가타올,515467
토삭스,1811285
인라인가방,412566
힐리스,83583
두발킥보드,1110473
핑거보드,205627
휠리스,78666
힐리스운동화,78666
바퀴달린신발,255650
아디다스풋살화,1156485
나이키풋살화,2260132
나이키더플백,3067165
키즈풋살화,1176333
주니어풋살화,977366
주니어축구화,615225
야구바지,182592
야구화,814410
기아타이거즈유니폼,
배팅장갑,656433
인조잔디야구화,558038
유소년야구화,624395
인조잔디화,802489
야구헬멧,774750
기아유니폼,
야구양말,101058
야구배팅장갑,619170
야구공케이스,23629
축구공가방,689573
농구골대,521309
농구공가방,546689
몰텐농구공,957434
농구유니폼,1061514
피구공,865366
미즈노배구화,636480
아식스배구화,94904
배구화,3116929
배구유니폼,26666
미카사배구공,288046
빅발리볼,
배구화추천,1746098
탁구화,4616700
탁구러버,949555
탁구가방,74893
탁구라켓케이스,49283
엑시옴탁구복,363119
탁구유니폼,274599
탁구복상의,220441
버터플라이탁구복,474757
테너지05,530200
버터플라이탁구화,1169866
요넥스티셔츠,180500
요넥스반바지,710000
요넥스바람막이,168029
배드민턴반바지,347416
테크니스트티셔츠,
윌슨테니스가방,860505
아디다스테니스화,951363
테니스화여성,1960559
테니스백팩,1017251
요넥스테니스화,903813
여성테니스화,2094576
스타족구화,1280966
족구공,943650
족구화,1803800
조이킥족구화,417883
족구네트,204190
조이킥,416592
볼링아대,892427
볼링티셔츠,102305
볼링티,179947
볼링백,1338685
웻슈트,2361066
수중랜턴,3147777
작살,
작살총,
핀삭스,905770
검도복,322022
검도용품,143277
죽도,229685
신켄무도구,319840
발레바,1869830
성인발레복,970197
에어로빅복,364704
드레스몰,160874
폴댄스의상,264387
라인댄스바지,
가정용샌드백,1330132
복싱핸드랩,510828
핸드랩,732111
의료용손목보호대,866083
얇은손목보호대,1357136
의료용무릎보호대,3187045
의료용허리보호대,1203036
발목아대,2468607
의료용발목보호대,614614
가검,146961
목검,135154
일본도,145452
쌍절곤,45471
진검,247650
단검,24209
카타나,5491
단도,41690
장검,64804
사인검,114333
청룡언월도,49269
태권도화,327615
태권도도복,407558
태권도복,289188
주짓수벨트,97089
태권도띠,109224
얼굴햇빛가리개,4569627
스키바라클라바,1321867
오일파스텔,752700
목각인형,21661
문진,182220
화구통,426550
파버카스텔색연필,610913
프리즈마색연필,1921636
맥세이프차량용거치대,1501730
티니핑피규어,563305
슬램덩크피규어,281765
새총,356037
슬램덩크만화책,55875
젤다아미보,623572
생이새우,317869
외부여과기,687990
어항받침대,464203
브라인쉬림프,494599
유목,235079
구피사료,662518
걸이식여과기,298066
거북이사료,795736
물멍,46966
엔드그레인도마,1975563
라탄빨래바구니,636067
3단빨래바구니,907173
양모볼,986520
건조기양모볼,597283
혈압측정기,4223680
가정용혈압계,3882649
비접촉체온계,318838
휴비딕체온계,446300
오므론혈압계,2987784
혈압기,4941812
가정용혈압기,3821910
만보기,644783
체지방체중계,12946288
국산덴탈마스크,2278114
입호흡액상,22545224
차이코스,3117610
액상전자담배,21238358
자가진단키트,1109749
일회용전자담배,2631343
아에르마스크,1574374
혈당체크기,2935522
녹십자혈당측정기,2775235
혈당시험지,2162348
아큐첵퍼포마시험지,615624
연속혈당측정기,1946101
아큐첵인스턴트,2383590
당뇨측정기,5349168
아큐첵인스턴트시험지,223431
무채혈혈당측정기,4270958
혈당계,6797358
케어센스N시험지,1113772
아큐첵혈당측정기,1457204
혈당측정기추천,5162121
아큐첵퍼포마,674689
당뇨체크기,2819019
아큐첵,933215
여드름패치,622824
흉터연고,2267598
휴대용네블라이저,5422658
센텔라스카연고,2052026
듀오덤엑스트라씬,1648729
더마틱스울트라,1431721
흉터제거연고,1517333
노인지팡이,2186956
납골당액자,834218
돋보기안경,552653
깁스방수커버,644342
납골당꾸미기,961418
이동식변기,1171558
목발,1252288
어르신지팡이,2589470
목견인기,5594765
굽은어깨교정기,4151730
자세교정밴드,3801093
의료용압박스타킹,5520870
라운드숄더교정,4798384
거북목교정기,3618121
어깨교정밴드,5643358
허리스트레칭기구,1173186
굽은등교정기,3822661
일자목교정기,3225859
목견인치료기,7414215
바른자세교정,2958457
허리스트레칭,1231380
부항기,2164447
적외선조사기,3830543
적외선치료기,3414875
저주파마사지기,2142416
클럭패드,380200
조사기,5319767
EMS마사지기,783202
저주파자극기,1879484
클럭마사지기,
실리콘부항,328420
한솔부항기,1743166
가정용좌욕기,4300349
치질좌욕기,4343519
좌훈기,316126
임산부좌욕기,5228198
좌욕대야,4085618
좌욕,8742724
전기찜질팩,5916878
무릎찜질기,5988698
허리찜질기,6682141
어깨찜질기,6733685
온수찜질기,1211025
어깨찜질팩,1922087
눈찜질팩,1931243
황토찜질기,5290106
배찜질기,7632691
허리찜질팩,1287610
무릎찜질팩,1499785
미백치약,9301176
혀클리너,2617068
이갈이마우스피스,1938519
잇몸치약,7352275
틀니세정제,557325
테라브레스,1510872
고체치약,436720
입냄새치약,4637414
천연치약,1071375
치과칫솔,3530026
켄트칫솔,3662078
온열안대,1608725
렌즈세척액,6490138
온열수면안대,1624900
생리식염수,452002
눈온열안대,1652841
식염수,1481422
안경세척기,2197050
보스톤심플러스,1728469
에이오셉,97809
리뉴,98528
무지외반증교정기,4302813
전동발각질제거기,9150193
발뒤꿈치각질제거,4064325
지압슬리퍼,1814865
손마사지기,174650
눈마사지기,280225
괄사마사지기,2138422
승모근마사지기,2450406
바디괄사,806600
슈케이스,1179214
섬유탈취제,2622724
곰팡이제거제,5285145
바퀴벌레약,4444388
옷장방향제,1345575
피톤치드스프레이,7626629
실내공기정화식물,1326630
인형꽃다발,599644
졸업식꽃다발,879503
승진화분,1242000
씨감자,23455
킨더조이꽃다발,471801
비누꽃다발,502443
올리브나무,370750
제초매트,923008
수경재배기,1124928
모두싹,681178
닌텐도스위치스포츠,1476846
닌텐도스위치조이콘,1904631
링피트,893786
모니터보안필름,871918
키보드손목받침대,1077512
마우스손목받침대,863920
15인치노트북파우치,1779166
노트북쿨링패드,1941886
아이패드종이필름,2700251
갤럭시탭S8케이스,3914012
짭플펜슬,1814339
아이패드에어4케이스,1565994
애플펜슬펜촉,2019949
갤럭시탭S8플러스케이스,3043765
아이패드9세대케이스,1256864
아이패드미니6케이스,560164
아이패드에어5케이스,1555208
갤럭시탭S6라이트케이스,1038402
아이패드종이질감필름,2866225
듀얼모니터암,1120787
듀얼모니터받침대,1244328
싱글모니터암,1453787
원목모니터받침대,757730
높이조절모니터받침대,902003
모니터암듀얼,1632705
카멜모니터암,1494217
MLT-K200L,840250
CLT-K510S,3312965
브리츠스피커,882430
브리츠사운드바,630110
앱코헤드셋,334465
CTOHDMI,156893
마이크로닉스파워,357722
굿노트다이어리,198658
3단매트리스,10821117
초등학생의자,4520806
침대안전가드,2444857
테라스가림막,599401
현관코일매트,268980
철제다리,499554
오로라무드등,2555531
다리베개,1528448
거북목베개,9975554
구스베개,2435022
빨아쓰는규조토발매트,897871
우드블라인드,2616490
콤비블라인드,722385
차르르커튼,911617
방한암막커튼,4812866
속커튼,1831001
안뚫어고리,867972
자이언트얀가방,23865
벨벳자이언트얀,1119275
자이언트얀실,1001155
자이언트얀벨벳,1085635
양모펠트,426275
펀치니들,281975
해바라기보석십자수,1639653
양말목,515405
힙분유,7989814
압타밀,8606622
앱솔루트명작,3416428
앱솔루트명작1단계,404660
아이엠마더1단계,1976083
아이엠마더,1834342
산양분유,5590778
위드맘,100716
위드맘1단계,110411
액상분유,4286623
천기저귀,1226965
페넬로페기저귀,9481600
쿠잉기저귀,366931
하기스기저귀,9402485
하기스네이처메이드1단계,4962965
하기스네이처메이드2단계,5354020
신생아기저귀,6594178
방수기저귀,327832
팸퍼스,65538994
하기스네이처메이드,5940920
팸퍼스기저귀,58547272
팸퍼스베이비드라이5단계,1415146
하기스네이처메이드3단계,4956092
대용량물티슈,14664725
비데물티슈,5534355
업소용물티슈,3002677
신생아물티슈,10511955
물티슈20팩,33477620
앙블랑물티슈,15214
마이비데,2608824
순둥이물티슈,2250679
베베숲시그니처블루,2352887
미엘물티슈,489060
아기반찬,2687011
이유식큐브,4292978
이유식쌀가루,1297191
초기이유식,5534901
아기퓨레,8504540
아기김,1341981
아기간장,251958
실온이유식,1215466
아기김치,1812584
맘마밀,751483
이유식야채큐브,7255897
담은수,
아넬라퓨레,10030657
퓨레,12056378
엘빈즈,
아기과자,5953321
유기농과자,3568875
뽀로로음료수,1828255
배도라지,3133210
뽀로로음료,2311396
티딩러스크,1537116
아기치즈,1542630
킨더밀쉬,7920311
루솔진한배도라지즙,3185600
아기보리차,1999680
아이키커,370707
뽀로로보리차,5037110
아기배도라지즙,1831291
아기떡뻥,4287801
베베당,178913
요미요미,819870
쪽쪽이,4372213
역류방지쿠션,8947744
유축기,2577300
수유쿠션,10281954
제이앤제나역류방지쿠션,26252587
쪽쪽이클립,651909
더블하트젖꼭지,1199088
더블하트젖병,1625662
유리젖병,842908
아벤트쪽쪽이,3216435
모윰쪽쪽이,
닥터브라운젖병,966631
모유저장팩,874291
유축기대여,1415898
수유패드,1114194
스펙트라젖병,135269
유모차컵홀더,596599
유모차라이너,4478895
유모차장갑,1312504
유모차걸이,190880
유모차가방걸이,127280
부스터카시트,51804
카시트발받침대,849301
카시트후방거울,1416557
카시트발판,913390
안전벨트인형,998702
어린이안전벨트,932365
페도라바구니카시트,217182
기저귀가방백팩,3714964
신생아아기띠,843049
기저귀파우치,5650113
아기포대기,1154229
아기띠침받이,390663
국민기저귀가방,4078574
기저귀백팩,4718861
백팩기저귀가방,3911945
기저귀가방이너백,4482624
아기욕조,5563967
아기비데,7100567
신생아욕조,3835824
샤워핸들,6936894
말랑하니욕조,7738696
포프베베아기비데,7003990
포프베베,3763103
아기목욕타올,2231755
아기물놀이장난감,528816
