relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
일본우산,37,0,3,0
요가매트16MM,33,4,3,0
골프벨트백,23,8,9,0
강아지할매조끼,21,7,12,0
아식스농구화,35,5,0,0
쫄면양념장,33,4,3,0
피난구유도등,37,3,0,0
인덕션깔개,34,3,3,0
안고자는인형,26,6,7,1
기장멸치젓갈,34,3,3,0
사운드벽보,34,5,1,0
초등학교책상,37,2,1,0
와이퍼인형,26,5,9,0
산리오꽃다발,12,8,19,1
어깨보조기,39,0,1,0
매립휴지걸이,33,3,4,0
다이론염색약,35,1,4,0
책꽂이미니어처,25,5,8,2
네스프레소캡슐보관함,18,8,13,1
꽃샘유자차,36,2,2,0
커피시럽,38,0,2,0
침대스프레드,25,7,8,0
벌통,38,2,0,0
냉장고메모보드,24,6,8,2
목카라,35,3,1,1
누름판,36,3,0,1
양지사다이어리,40,0,0,0
볼마커제작,17,11,12,0
언더아머더플백,33,3,4,0
쌀씻는통,26,3,10,1
퇴비,28,5,7,0
라바콘,36,1,3,0
클라리넷리드,39,1,0,0
요가타월,25,8,7,0
요가타올,25,8,7,0
클라이밍초크백,30,5,5,0
잡초제거기,37,2,1,0
남아가디건,29,1,10,0
소가죽롱부츠,19,6,13,2
요넥스배드민턴가방,29,5,6,0
플랜트박스,23,2,15,0
르쿠르제접시,22,7,11,0
마켓비트롤리,22,8,10,0
피겨스케이트,33,6,1,0
울외장아찌,35,2,3,0
자석소마큐브,36,2,2,0
폴로손수건,33,1,6,0
타코야키팬,38,0,2,0
미니상,32,0,8,0
자바라칸막이,25,2,12,1
에바알머슨,31,3,5,1
농구골대,36,2,2,0
푸어링,27,4,8,1
야자매트,28,3,9,0
매니폴드게이지,40,0,0,0
미아방지가방,24,6,9,1
아이방벽지,32,1,6,1
철재다리,21,5,13,1
모티스락,34,4,2,0
양지다이어리,40,0,0,0
레트로계산기,26,2,10,2
전기핫팩,22,10,8,0
타코야끼만들기,37,1,2,0
보온복대,30,5,5,0
와인칠러,23,3,13,1
테너지05,40,0,0,0
피아노의자,38,0,2,0
미니헬스가방,31,3,6,0
콜팝용기,40,0,0,0
무수축몰탈,35,1,4,0
소라게,28,3,9,0
문걸이선반,26,6,7,1
임산부호박즙,34,3,3,0
브로와,37,3,0,0
쟈뎅아워티,30,6,4,0
산리오캐리어,16,9,14,1
자개귀걸이,25,6,8,1
드럼연습패드,36,1,3,0
어질리티,30,0,10,0
강아지사료통,23,7,10,0
에어방석,32,3,5,0
미니트롤리,29,5,5,1
믹싱볼세트,20,11,9,0
테이블철제다리,23,6,10,1
어항산소발생기,34,2,4,0
면도경,34,2,4,0
말차파우더,38,2,0,0
에뜨와우주복,37,1,2,0
애견욕조,24,3,12,1
요넥스그립,37,1,2,0
도트물감,37,0,2,1
현미포켓누룽지,33,1,6,0
차콜스타터,36,1,3,0
유아앞치마세트,20,4,16,0
멀칭비닐,33,2,5,0
키즈스마트워치,31,4,5,0
어린이스마트워치,31,4,5,0
천재블럭,37,1,2,0
농구공가방,32,3,5,0
플렉시리드줄,36,2,2,0
강아지누빔조끼,19,4,17,0
오프라벨,39,1,0,0
채찍,37,1,2,0
아기토퍼,21,5,14,0
전자호루라기,35,3,2,0
한스데코,31,2,7,0
돋보기안경,29,5,6,0
가스인두기,39,1,0,0
자스민차,30,3,6,1
블루베리묘목,31,3,5,1
강아지미용거치대,33,2,4,1
나무입간판,30,2,6,2
타일보수,21,7,11,1
보쉬열풍기,40,0,0,0
주니어발레복,27,2,11,0
발해먹,34,4,2,0
모티스락손잡이,34,4,2,0
현관문종,26,4,8,2
칼가는기계,35,3,2,0
신생아겉싸개,23,10,7,0
다과상,23,5,12,0
타이틀리스트파우치,30,2,8,0
아이패드미니6케이스,23,6,11,0
배워머,28,6,6,0
즈위프트센서,37,2,1,0
강아지셀프미용,37,1,1,1
레이저포인트,31,6,3,0
초등학생시계,22,5,11,2
장스텐드조명,31,4,5,0
식당유니폼,37,1,2,0
라면기,24,4,11,1
성수동수제화,27,4,8,1
남자부분가발,36,2,2,0
디즈니보석십자수,30,3,7,0
수저정리함,16,7,16,1
쿠루토가샤프,21,7,11,1
캐리어보호커버,27,4,8,1
막국수,34,1,5,0
스완스수경,30,4,6,0
아기겉싸개,25,9,6,0
강아지욕조,24,3,12,1
투명시트지,35,2,3,0
뜰채프레임,38,0,2,0
무타공블라인드,32,1,5,2
초등시계,22,5,11,2
JS-40B,34,1,5,0
뽀로로퍼즐,38,1,1,0
열패치,2,0,3,0
나무이젤,28,3,9,0
고피쉬,39,1,0,0
유모차장난감,29,6,5,0
아기책꽂이,27,3,9,1
유아시계,26,3,9,2
보청기배터리,36,2,2,0
용두동쭈꾸미,38,2,0,0
수능선물세트,36,1,3,0
이유식스파츌라,34,2,4,0
정온전선,40,0,0,0
벨보아,28,2,7,3
리스트블라우스,34,2,4,0
미니핫도그,35,1,4,0
레몬스퀴즈,34,2,4,0
쌀씻는도구,25,5,9,1
초등학생킥보드,29,4,7,0
돌아기베개,28,4,8,0
배냇저고리만들기,37,1,2,0
가슴운동,39,0,1,0
토슈즈,33,3,4,0
하이웨스트비키니,12,3,24,1
말하는선인장,34,1,4,1
차량용먼지떨이,35,2,3,0
대방석,32,4,4,0
파르미지아노레지아노,36,2,1,1
자동바,33,3,4,0
철제이젤,37,1,2,0
쿠루토가,23,6,10,1
한우육포,38,1,1,0
시나모롤캐리어,16,10,13,1
피순대,31,0,9,0
까나리액젓,37,2,1,0
빅사이즈비키니,30,3,6,1
WPC우양산,32,0,6,2
로지텍헤드셋,30,6,3,1
24인치모니터보안필름,36,3,1,0
카람빗,29,3,8,0
복싱마우스피스,29,5,6,0
펜텔그래프1000,29,4,6,1
볼타올,26,5,9,0
유모차컵홀더,25,3,12,0
건조기양모볼,25,5,9,1
유아책꽂이,28,1,9,2
스텐다라이,30,6,4,0
자동와인오프너,30,6,3,1
운남성보이차,36,1,3,0
신발방수스프레이,23,7,10,0
쌀세척볼,25,2,11,2
인형꽃다발,4,8,26,2
똑딱이펀칭기,28,2,6,4
플레이도우,1,0,2,0
라이프타임테이블,31,2,7,0
개미집,35,3,2,0
엉뽕팬티,30,5,5,0
애견미용테이블,28,5,6,1
임산부기모레깅스,35,1,4,0
탕온도계,35,1,4,0
콩잎장아찌,25,7,7,1
탯줄,21,5,12,2
건조기볼,24,5,10,1
소토레귤레이터,31,3,6,0
캠핑변기,19,7,14,0
빨래삶는통,35,2,3,0
소토토치,31,3,6,0
노브라티,20,9,10,1
파버카스텔색연필,34,3,3,0
해면기,38,1,1,0
샤넬꽃,16,7,16,1
폼랜스,31,5,4,0
의료용발목보호대,29,6,5,0
올파,32,5,3,0
살림망,39,1,0,0
허벅지보호대,36,2,2,0
셀프성장동영상,33,1,5,1
하리오V60,31,3,6,0
진공사료통,32,1,7,0
자이언트얀방석,28,1,9,2
대나무숯,38,1,1,0
캐리어잠금장치,34,2,4,0
자수턱받이,13,8,17,2
식당벨,37,2,1,0
강아지어질리티,31,0,9,0
시쿠,39,0,1,0
스와로브스키귀걸이,28,4,7,1
반스체커보드슬립온,31,3,6,0
카시오계산기,30,3,7,0
레몬즙짜기,34,1,5,0
베어브릭피규어,17,10,13,0
립그립,38,1,1,0
유소년야구화,34,4,2,0
합격엿,36,1,3,0
돌절구,35,1,4,0
장독,33,4,3,0
골프레그워머,25,8,6,1
뮤직복싱기계,38,0,2,0
복싱기계,38,0,2,0
도징컵,33,2,5,0
리본목걸이,24,5,9,2
슬리브압착기,36,3,1,0
