relative_keyword,avg_price
앱코키보드,73669.0
키즈경량패딩,76983.0
후쿠오카버스투어,58505.0
식전영상,33231.0
면세점가방,106.0
면세점향수,124.0
면세점선글라스,157.0
꾸셀파운데이션,19756.0
롱샴면세점,139.0
인천공항면세점향수,128.0
인천공항면세점선글라스,154.0
면세점시계,404.0
면세점가방추천,111.0
면세점어그,58476.0
꾸셀베이스오리지널,27540.0
면세점립스틱,30.0
면세점립스틱추천,28.0
면세점화장품,81.0
면세점향수추천,126.0
어그면세점,58476.0
밍크엘레팡,12933.0
면세점지갑,172.0
인천공항면세점롱샴,139.0
마라톤싱글렛,25478.0
스포벨러닝벨트,19800.0
카멜백울트라벨트,109990.0
러닝클래스,40176.0
카본제트프로3,125156.0
살로몬러닝벨트,64245.0
당구장갑,11295.0
당구그립,11905.0
당구큐가방,90187.0
쿠드롱팁,20698.0
롱고니큐,162151.0
아담무사시,225363.0
한밭큐,237336.0
당구초크,20793.0
줄다리기줄,131498.0
게이트볼스틱,168611.0
2인3각,11571.0
컴파운드보우,174266.0
피클볼,53666.0
리듬체조리본,10142.0
뉴스포츠,50965.0
패드민턴,15448.0
럭비공,32582.0
리본체조리본,5946.0
림보,56942.0
마닐라로프,47269.0
도라지배즙,24797.0
곤약밥,22036.0
전투식량,10478.0
비비고만두,17987.0
비비고사골곰탕,12088.0
고메소바바치킨,21421.0
지포어골프화,173507.0
AB슬라이드,18009.0
치닝디핑,128587.0
무게조절덤벨,98797.0
문틀철봉,21892.0
로잉머신,282358.0
자이로볼,10981.0
천국의계단운동기구,773116.0
스피닝자전거,253864.0
스파인코렉터,60947.0
토삭스,6286.0
소함소함,30759.0
K2인라인스케이트,232963.0
롤러블레이드,182429.0
K2인라인,227171.0
롤러브레이드,183980.0
힐리스,43153.0
두발킥보드,97160.0
핑거보드,16671.0
문워커스,88773.0
휠리스,46356.0
힐리스운동화,53913.0
나인봇,545042.0
바퀴달린신발,46233.0
데카트론킥보드,159718.0
오토바이방한토시,25468.0
오토바이블랙박스,123376.0
오토바이방한복,66937.0
홍진헬멧,159446.0
존테스350D,67326.0
미즈노축구화,138412.0
키즈풋살화,46746.0
아디다스풋살화,76939.0
나이키더플백,42754.0
토트넘유니폼,52669.0
이강인유니폼,69473.0
축구바람막이,48103.0
유소년야구화,56760.0
야구바지,29343.0
야구바람막이,53055.0
야구풀오버,67512.0
포수미트,210534.0
내야글러브,253893.0
투수글러브,316300.0
인조잔디야구화,67315.0
나이키야구화,138014.0
인조잔디화,61280.0
야구공케이스,17168.0
외야글러브,256692.0
에어조던1로우,132589.0
커리11,199880.0
언더아머농구화,115637.0
축구공가방,13434.0
사브리나1,172575.0
나이키업템포,180449.0
조던1로우,134640.0
커리농구화,111511.0
농구공가방,12531.0
업템포,158031.0
루카1,208020.0
르브론20,220000.0
윌슨농구공,58312.0
줌프릭5,158915.0
피구공,16673.0
미즈노배구화,76092.0
아식스배구화,87477.0
나이키배구화,208499.0
미카사배구공,69354.0
아식스스카이엘리트,139117.0
스타배구공,41758.0
빅발리볼,57503.0
미즈노모멘텀3,144362.0
탁구화,89525.0
미즈노탁구화,97773.0
탁구복상의,51551.0
엑시옴탁구복,46535.0
탁구가방,38272.0
탁구대,470079.0
탁구유니폼,48015.0
탁구라켓케이스,30138.0
아식스탁구화,97650.0
버터플라이탁구복,62832.0
버터플라이탁구화,76634.0
리닝탁구화,140779.0
탁구네트,20542.0
테너지05,80228.0
미즈노배드민턴화,97349.0
돌아오는셔틀콕,17599.0
요넥스배드민턴화,98351.0
요넥스티셔츠,40346.0
요넥스바람막이,95206.0
셀프배드민턴,31124.0
KBB79,168656.0
요넥스가방,57820.0
요넥스배드민턴라켓,152554.0
혼자배드민턴,19703.0
나이키테니스화,105955.0
아식스테니스화,112982.0
윌슨테니스가방,62995.0
아디다스테니스화,74906.0
아식스젤레졸루션9,142009.0
테니스장갑,22590.0
요넥스테니스화,97295.0
키모니그립,7691.0
아식스FF3,182133.0
스쿼시라켓,135097.0
라테스민턴,160966.0
테크니화이버,221248.0
스타족구화,76576.0
족구공,31358.0
족구화,64579.0
조이킥족구화,85343.0
족구네트,35276.0
낫소족구화,73161.0
조이킥,85753.0
조이킥스포츠,56258.0
볼링공,201311.0
볼링화,134931.0
볼링아대,95516.0
덱스터볼링화,156436.0
볼링가방,98030.0
볼링티,27784.0
볼링티셔츠,47916.0
스톰볼링공,250855.0
볼링매니아,31935.0
중고볼링공,143548.0
하드볼,123528.0
남자볼링화,115334.0
볼링볼타올,9073.0
햄머볼링공,223771.0
우레탄볼링공,214262.0
볼링백,96128.0
드라이슈트,1424521.0
수중랜턴,74437.0
다이빙컴퓨터,538462.0
작살,28697.0
수중스쿠터,784420.0
베스트다이브슈트,219077.0
다이브로이드,428368.0
핀삭스,26795.0
순토D5,471849.0
베스트다이브,250622.0
검도용품,30941.0
검도복,58275.0
검도호구,284486.0
죽도,35825.0
신켄무도구,62506.0
성인발레복,22878.0
드레스몰,18843.0
라인댄스바지,25704.0
발레워머,27057.0
에어로빅복,18660.0
코코랑,14176.0
폴댄스의상,28993.0
가정용샌드백,59965.0
위닝글러브,270683.0
복싱핸드랩,13616.0
트윈스글러브,132608.0
핸드랩,12564.0
에버라스트글러브,47610.0
레예스글러브,324924.0
아디다스글러브,103800.0
복싱바,102218.0
탭볼,115373.0
라이벌글러브,214860.0
아디다스복싱글러브,103120.0
의료용무릎보호대,18943.0
의료용손목보호대,15106.0
잠스트무릎보호대,44284.0
엘보보호대,19090.0
엄지손가락보호대,11565.0
가검,91870.0
목검,34934.0
일본도,76927.0
쌍절곤,9404.0
진검,68722.0
도검,150732.0
단검,52650.0
단도,51677.0
카타나,80398.0
와키자시,74050.0
한일도검,332773.0
청룡언월도,57517.0
장검,56411.0
사인검,55406.0
대조영도검,173052.0
장도,51345.0
복싱화,140286.0
주짓수도복,152294.0
아디다스복싱화,144422.0
미즈노복싱화,352779.0
태권도화,32272.0
태권도도복,27386.0
태권도복,34349.0
유도복,147548.0
나이키복싱화,220394.0
레슬링화,141378.0
아식스복싱화,174881.0
아식스역도화,314587.0
프로스펙스복싱화,56483.0
아디다스유도복,229095.0
에버라스트복싱화,135370.0
나이키사발레오,214691.0
소요롤도복,185404.0
줄넘기화,41726.0
바이탈도복,153869.0
나이키헤어밴드,18917.0
오일파스텔,17284.0
아크릴재단,475.0
문진,15228.0
파버카스텔색연필,21158.0
화구통,11747.0
옷염색약,9410.0
하드보드지,11831.0
맥세이프차량용거치대,27627.0
2355519,136182.0
토이나이프,4560.0
젤다아미보,31422.0
푸쉬팝게임기,6585.0
꼬치의달인,46295.0
MGSD발바토스,79461.0
생이새우,5770.0
체리새우,5518.0
외부여과기,57684.0
브라인쉬림프,15928.0
유목,10528.0
무환수어항,69284.0
걸이식여과기,12411.0
2자어항,46075.0
화산석,8771.0
뉴진스앨범,17265.0
플레이브앨범,15761.0
세븐틴앨범,14976.0
투바투앨범,13762.0
제로베이스원앨범,15681.0
아이브마인앨범,12302.0
르세라핌앨범,18073.0
제베원앨범,12008.0
정국골든앨범,27137.0
라이즈앨범,24662.0
QWER앨범,15086.0
잔나비LP,240594.0
이승윤LP,88850.0
아이브미니앨범,22745.0
슬램덩크만화책,55522.0
윔피키드원서,45340.0
독학사,20682.0
그리스로마신화,17154.0
EBS봉투모의고사,7438.0
드래곤볼만화책,95590.0
EBS모의고사,8926.0
EBS파이널모의고사,7938.0
받침없는동화,16622.0
지역농협NCS,20542.0
봉투모의고사,13105.0
주술회전만화책,5400.0
NATETHEGREAT,87063.0
설민석의한국사대모험,140814.0
오싹오싹팬티,25815.0
성경책,27622.0
싱잉볼,42659.0
미사보,27439.0
성경책리폼,37692.0
금강저,28326.0
목탁,25827.0
성경필사노트,7703.0
성경책커버,24742.0
108염주,18620.0
큰글자성경,49327.0
성모상,35182.0
개역개정성경,36255.0
성경리폼,39346.0
3단빨래바구니,28166.0
스탠드다리미판,35593.0
라탄빨래바구니,22512.0
전동빨래건조대,181114.0
한샘빨래건조대,52124.0
양모볼,7964.0
가정용혈압계,64152.0
오므론혈압계,64183.0
만보기,6304.0
브라운체온계6525,90145.0
브라운체온계6030,75101.0
청진기,68386.0
혈압기,56408.0
카카오체중계,48408.0
비접촉체온계,45415.0
샤오미체중계,22950.0
카스체중계,24514.0
브라운체온계6520,64882.0
IRT6030,75009.0
전담액상,10587.0
덴탈마스크,7329.0
입호흡액상,10536.0
웰컴드링크,45716.0
차이코스,56682.0
발라리안코일,10957.0
일회용전자담배,17772.0
연속혈당측정기,92905.0
무채혈혈당측정기,104399.0
아큐첵인스턴트,29835.0
아큐첵퍼포마시험지,26261.0
글루코핏,55917.0
당뇨측정기,35461.0
아큐첵인스턴트시험지,30661.0
프리스타일리브레,115039.0
혈당측정기무채혈,143225.0
아큐첵혈당측정기,38910.0
아큐첵퍼포마,26895.0
리브레혈당,92975.0
혈당시험지,18945.0
케어센스N시험지,32145.0
혈당체크기,35918.0
아큐첵,22747.0
아큐첵액티브,18102.0
인슐린주사기,12274.0
바로잰혈당시험지,25833.0
듀오덤엑스트라씬,15733.0
여드름패치,6470.0
알콜스왑,4743.0
더마틱스울트라,25962.0
흉터연고,25566.0
실리콘약병,10908.0
더마틱스울트라겔,23146.0
소독용에탄올,10789.0
이어포셉,45440.0
오므론네블라이저,52355.0
전동휠체어,902597.0
돋보기안경,13206.0
노인보행기,107425.0
보행보조기,100283.0
납골당꾸미기,20640.0
보청기,16613.0
목발,21580.0
포타포티,118200.0
휠체어대여,120960.0
경량휠체어,171088.0
요강,20996.0
이동식변기,45756.0
거북목교정기,28520.0
목견인기,45915.0
자세교정밴드,20547.0
의료용압박스타킹,28813.0
거북목교정,28039.0
어깨교정밴드,19349.0
센시안압박스타킹,24187.0
허리스트레칭기구,29180.0
허리견인기,79291.0
발목보조기,65599.0
CPM대여,199956.0
굽은등교정기,32701.0
골반교정기,100679.0
깁스신발,20192.0
저주파치료기,199721.0
부항기,24542.0
적외선조사기,63011.0
적외선치료기,79867.0
원적외선온열치료기,107688.0
초음파치료기,276527.0
온열부항의료기기,142232.0
클럭패드,18446.0
부황기,24240.0
한솔부항기,22599.0
온부기,174239.0
EMS마사지기,42572.0
비웰스바디펜,80000.0
저주파자극기,53538.0
물리치료기,316456.0
부항,18489.0
휴비딕저주파,32624.0
클럭마사지기,55660.0
가정용좌욕기,66433.0
좌훈기,91154.0
근적외선좌욕기,134465.0
좌욕,20392.0
치질좌욕기,39658.0
좌욕대야,9118.0
큐손길N,176000.0
근적외선,133038.0
원적외선좌욕기,151087.0
질온관리기,245785.0
적외선좌욕기,174658.0
임산부좌욕기,13847.0
온릴스,161330.0
파쉬보온물주머니,17794.0
눈찜질팩,10534.0
전기찜질팩,31216.0
발온열기,42900.0
파쉬,16865.0
허리찜질기,41084.0
어깨찜질기,49277.0
온수찜질기,21200.0
황토찜질팩,6464.0
어깨찜질팩,28026.0
팥찜질팩,18706.0
무릎찜질기,42797.0
파쉬물주머니,17614.0
이갈이마우스피스,21650.0
애터미치약,14827.0
미백치약,11288.0
켄트칫솔,22869.0
혀클리너,6893.0
어금니칫솔,9676.0
큐라덴칫솔,21317.0
첨단칫솔,7188.0
애터미칫솔,15832.0
유시몰치약,20255.0
온열안대,14362.0
안경세척기,31976.0
식염수,16248.0
보스톤심플러스,30687.0
옵티프리,16240.0
에이오셉,24690.0
초음파안경세척기,35277.0
메구리즘온열안대,22517.0
생리식염수,14239.0
안경초음파세척기,44588.0
멸균생리식염수,13346.0
옵티프리퓨어모이스트,22201.0
메구리즘,10812.0
무지외반증교정기,18023.0
건식족욕기,129463.0
내성발톱교정기,15298.0
그랜즈레미디,21120.0
셀라큐어,47172.0
코지마발마사지기,335335.0
폴리오종아리마사지기,77835.0
공기압다리마사지기,161635.0
손마사지기,69619.0
눈마사지기,51059.0
괄사마사지기,39567.0
바디프랜드팔콘,2900000.0
토르박스,47950.0
매직캔,36509.0
여인초,62441.0
인형꽃다발,21631.0
올리브나무,45575.0
양파모종,95100.0
학예회꽃다발,15156.0
사랑초,5050.0
몬스테라알보,100645.0
킨더조이꽃다발,14252.0
튤립구근,5665.0
호야,14033.0
분갈이흙,6456.0
비닐하우스자재,37880.0
제초매트,29561.0
더퍼스트슬램덩크블루레이,97779.0
슬램덩크블루레이,138626.0
블루자이언트특전,107491.0
아이유골든아워,38237.0
백색소음기,52373.0
오닉스포크5,157100.0
스캔톡,158726.0
소형녹음기,85793.0
초소형녹음기,67713.0
오닉스팔마,10362.0
오닉스페이지,443924.0
말랑하니백색소음기,46713.0
전자책,180214.0
오닉스포크5S,210830.0
전자사전,203563.0
크레마,104854.0
E북리더기,246479.0
크레마이북리더기,130720.0
소니녹음기,206186.0
포크5S,220771.0
닌텐도스위치라이트,287152.0
마리오원더,62224.0
듀얼센스,56988.0
닌텐도스위치조이콘,38927.0
중고컴퓨터,611031.0
삼성올인원PC,944443.0
삼성데스크탑,826180.0
온열마우스패드,23290.0
15인치노트북파우치,21151.0
16인치노트북파우치,23811.0
삼성노트북충전기,17389.0
17인치노트북가방,27592.0
14인치노트북파우치,21639.0
17인치노트북파우치,25030.0
아이패드에어5케이스,20576.0
짭플펜슬,23348.0
아이패드9세대케이스,18214.0
애플펜슬케이스,7820.0
애플펜슬펜촉,7997.0
갤럭시탭S9플러스케이스,33889.0
갤럭시탭S9울트라케이스,36195.0
