relative_keyword,total_search,total_store_count,competitive_rate
티셔츠,37500.0,66224327.0,1765.98
카디건,3620.0,9626694.0,2659.31
원피스,560200.0,28454346.0,50.79
니트,43840.0,25344476.0,578.11
스웨터,6490.0,9319823.0,1436.03
셔츠,41500.0,73199079.0,1763.83
블라우스,81220.0,9819315.0,120.9
재킷,3640.0,25689199.0,7057.47
점퍼,16450.0,10461403.0,635.95
코트,21930.0,10897688.0,496.93
청바지,69120.0,12922881.0,186.96
레깅스,34840.0,4539249.0,130.29
스커트,27080.0,16130182.0,595.65
바지,28970.0,46616866.0,1609.14
트레이닝복,22590.0,10229071.0,452.81
단체복,8500.0,694686.0,81.73
한복,85200.0,1035101.0,12.15
조끼,25730.0,11773981.0,457.6
정장세트,2360.0,2169921.0,919.46
유니폼,30200.0,2746193.0,90.93
파티복,1460.0,2274093.0,1557.6
코디세트,950.0,2432189.0,2560.2
레인코트,10740.0,1682636.0,156.67
점프슈트,13400.0,1989885.0,148.5
브라,30410.0,7424158.0,244.14
잠옷,79700.0,6540641.0,82.07
홈웨어,15440.0,8560553.0,554.44
팬티,32020.0,9344147.0,291.82
브라팬티세트,3810.0,1951980.0,512.33
보정속옷,19680.0,1816325.0,92.29
캐미솔,4300.0,1076260.0,250.29
슬립,26750.0,5781277.0,216.12
속치마,5610.0,232227.0,41.4
러닝,15730.0,6801454.0,432.39
티셔츠,37500.0,66224352.0,1765.98
속바지,9830.0,912269.0,92.8
스웨터,6490.0,9319834.0,1436.03
니트,43840.0,25344533.0,578.11
셔츠,41500.0,73199079.0,1763.83
남방,19190.0,4669287.0,243.32
재킷,3640.0,25689199.0,7057.47
카디건,3620.0,9626816.0,2659.34
점퍼,16450.0,10461539.0,635.96
청바지,69120.0,12923220.0,186.97
바지,28970.0,46618369.0,1609.19
정장세트,2360.0,2169989.0,919.49
조끼,25730.0,11774355.0,457.61
코트,21930.0,10898367.0,496.96
단체복,8500.0,694670.0,81.73
한복,85200.0,1035141.0,12.15
레인코트,10740.0,1682747.0,156.68
트레이닝복,22590.0,10229800.0,452.85
유니폼,30200.0,2746193.0,90.93
점프슈트,13400.0,1989885.0,148.5
코디세트,950.0,2432189.0,2560.2
러닝,15730.0,6802239.0,432.44
팬티,32020.0,9345377.0,291.86
잠옷,79700.0,6540988.0,82.07
홈웨어,15440.0,8561027.0,554.47
보정속옷,19680.0,1816325.0,92.29
부츠,31690.0,12436629.0,392.45
단화,24650.0,14073865.0,570.95
펌프스,9250.0,4946039.0,534.71
힐,7410.0,6974147.0,941.18
부티,11510.0,487286.0,42.34
워커,35850.0,2038280.0,56.86
슬리퍼,131400.0,11823360.0,89.98
실내화,43660.0,3209977.0,73.52
샌들,31330.0,13982696.0,446.3
운동화,152600.0,17788696.0,116.57
기능화,90.0,3060582.0,34006.47
털신,1470.0,300085.0,204.14
부츠,31690.0,12436629.0,392.45
모카신,4570.0,508271.0,111.22
운동화,152600.0,17788576.0,116.57
워커,35850.0,2038234.0,56.85
슬리퍼,131400.0,11823405.0,89.98
스니커즈,84500.0,15992267.0,189.26
실내화,43660.0,3209977.0,73.52
구두,48540.0,10052016.0,207.09
웰트화,290.0,164861.0,568.49
신발깔창,12110.0,1103365.0,91.11
기능화,90.0,3060582.0,34006.47
샌들,31330.0,13982696.0,446.3
보트슈즈,2050.0,494232.0,241.09
슬립온,34290.0,3616858.0,105.48
구둣주걱,350.0,119602.0,341.72
부츠키퍼,260.0,71486.0,274.95
신발끈,11910.0,265071.0,22.26
패드,23540.0,20958170.0,890.32
보호쿠션,180.0,910307.0,5057.26
백팩,185800.0,9962505.0,53.62
크로스백,156200.0,13996481.0,89.61
숄더백,52930.0,11268405.0,212.89
슈즈커버,210.0,605004.0,2880.97
토트백,60960.0,8493826.0,139.33
에코백,139400.0,2305945.0,16.54
힙색,51700.0,1847200.0,35.73
파우치,57150.0,10594448.0,185.38
클러치백,26300.0,2060687.0,78.35
크로스백,156200.0,13995239.0,89.6
백팩,185800.0,9963611.0,53.63
숄더백,52930.0,11268405.0,212.89
토트백,60960.0,8493826.0,139.33
가방소품,100.0,5640207.0,56402.07
에코백,139400.0,2305945.0,16.54
기내용캐리어,72420.0,1028416.0,14.2
힙색,51700.0,1847200.0,35.73
브리프케이스,7790.0,1029311.0,132.13
클러치백,26300.0,2060687.0,78.35
보스턴가방,2010.0,1542708.0,767.52
복대,18540.0,453778.0,24.48
중대형캐리어,80.0,698440.0,8730.5
이민,10880.0,112465.0,10.34
네임태그,940.0,467625.0,497.47
여권지갑,14830.0,297560.0,20.06
케이스,35650.0,62983549.0,1766.72
슈트케이스,2880.0,154401.0,53.61
여성지갑,15650.0,3559430.0,227.44
자물쇠,18090.0,1451980.0,80.26
캐리어커버,20850.0,277754.0,13.32
명함지갑,25070.0,2030623.0,81.0
동전지갑,20910.0,952401.0,45.55
머니클립,9550.0,300501.0,31.47
남성지갑,14930.0,2403432.0,160.98
카드,24010.0,20186146.0,840.74
통장지갑,2840.0,61120.0,21.52
남성벨트,16960.0,3234763.0,190.73
여성벨트,16320.0,3350269.0,205.29
열쇠지갑,940.0,279899.0,297.76
야구모자,15680.0,5029474.0,320.76
스냅백,11980.0,1224197.0,102.19
군모,3850.0,236959.0,61.55
멜빵,9270.0,1631467.0,175.99
비니,25620.0,2137268.0,83.42
