relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
제모제,1250.0,50115.0,40.09,15649,4367054.0
유아세탁세제,1410.0,50365.0,35.72,19351,4794678.0
기저귀휴지통,3200.0,50428.0,15.76,32578,8578237.0
카테킨,12470.0,50519.0,4.05,27531,5662298.0
파우더통,1500.0,50724.0,33.82,8217,565176.0
코인티슈,2550.0,50847.0,19.94,14845,3373868.0
업소용냉온풍기,420.0,51068.0,121.59,1080058,4459182.0
혈당계,2520.0,51190.0,20.31,45070,6227983.0
시서스,53100.0,51422.0,0.97,59928,5225997.0
휘핑크림,13200.0,51890.0,3.93,6612,1021985.0
동치미,23860.0,51919.0,2.18,19032,459942.0
임산부보호대,90.0,52177.0,579.74,9084,876821.0
볼링의류,190.0,52414.0,275.86,38337,136370.0
속눈썹영양제,46050.0,52519.0,1.14,26876,4346754.0
황도,16550.0,52793.0,3.19,5077,779729.0
필오프팩,4610.0,52938.0,11.48,19605,10655327.0
유아비누,600.0,53011.0,88.35,10571,162985.0
천연감미료,580.0,53105.0,91.56,8686,746027.0
샤워코롱,5330.0,53229.0,9.99,9317,253611.0
혈당측정지,420.0,53645.0,127.73,18454,2374352.0
백신,14500.0,53897.0,3.72,25690,178031.0
배구네트,920.0,54038.0,58.74,155269,4367054.0
발싸개,1160.0,54517.0,47.0,6638,4794678.0
체온계,32460.0,54594.0,1.68,45703,8578237.0
전기매트커버,900.0,54713.0,60.79,25132,5662298.0
포도씨유,28300.0,54961.0,1.94,17097,565176.0
파벽돌,6300.0,55520.0,8.81,20321,3373868.0
임산부바디필로우,10660.0,55863.0,5.24,53294,4459182.0
수유쿠션,24470.0,55874.0,2.28,52703,4367054.0
곤,10110.0,56442.0,5.58,22783,4794678.0
발사믹드레싱,6080.0,57143.0,9.4,8330,8578237.0
헤어젤,3780.0,57829.0,15.3,6604,5662298.0
아기띠,31140.0,57849.0,1.86,114675,565176.0
유아오일,240.0,58049.0,241.87,18602,3373868.0
선스프레이,2990.0,58238.0,19.48,15030,4459182.0
국어,13250.0,58389.0,4.41,12610,6227983.0
기저귀정리함,2550.0,58847.0,23.08,28733,5225997.0
비즈발,1400.0,59106.0,42.22,42254,1021985.0
장조림,24720.0,59299.0,2.4,11186,4367054.0
