relative_keyword,total_search,total_store_count,competitive_rate,avg_price
제모제,1250.0,50115.0,40.09,15718
유아세탁세제,1410.0,50365.0,35.72,21030
기저귀휴지통,3200.0,50428.0,15.76,40252
카테킨,12470.0,50519.0,4.05,32478
파우더통,1500.0,50724.0,33.82,11181
코인티슈,2550.0,50847.0,19.94,21000
업소용냉온풍기,420.0,51068.0,121.59,1137818
혈당계,2520.0,51190.0,20.31,89126
시서스,53100.0,51422.0,0.97,67451
휘핑크림,13200.0,51890.0,3.93,11859
동치미,23860.0,51919.0,2.18,19362
임산부보호대,90.0,52177.0,579.74,11023
볼링의류,190.0,52414.0,275.86,51240
속눈썹영양제,46050.0,52519.0,1.14,32974
황도,16550.0,52793.0,3.19,8491
필오프팩,4610.0,52938.0,11.48,23680
유아비누,600.0,53011.0,88.35,11416
천연감미료,580.0,53105.0,91.56,13652
샤워코롱,5330.0,53229.0,9.99,9722
혈당측정지,420.0,53645.0,127.73,19416
백신,14500.0,53897.0,3.72,146656
배구네트,920.0,54038.0,58.74,277453
발싸개,1160.0,54517.0,47.0,6828
체온계,32460.0,54594.0,1.68,44963
전기매트커버,900.0,54713.0,60.79,26771
포도씨유,28300.0,54961.0,1.94,20788
파벽돌,6300.0,55520.0,8.81,26092
임산부바디필로우,10660.0,55863.0,5.24,55991
수유쿠션,24470.0,55874.0,2.28,53127
곤,10110.0,56442.0,5.58,194496
발사믹드레싱,6080.0,57143.0,9.4,10986
헤어젤,3780.0,57829.0,15.3,7556
아기띠,31140.0,57849.0,1.86,122398
유아오일,240.0,58049.0,241.87,21579
선스프레이,2990.0,58238.0,19.48,22002
국어,13250.0,58389.0,4.41,14180
기저귀정리함,2550.0,58847.0,23.08,33916
비즈발,1400.0,59106.0,42.22,51969
장조림,24720.0,59299.0,2.4,12345
문예,1460.0,59345.0,40.65,37796
치석제거기,12310.0,59356.0,4.82,17495
음식물처리기,134500.0,59651.0,0.44,505042
야구보호대,380.0,59764.0,157.27,46706
레몬밤,11880.0,60010.0,5.05,20482
