cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000001,패션잡화,양말,크록스,캐리어,실내화,나이키운동화,안전화,남자양말,운동화,에코백,14k귀걸이,깔창,14k목걸이,카드지갑,슬리퍼,백팩,종아리압박밴드,페이크삭스,크로스백,우산,양산
50000002,화장품/미용,샴푸,탈모샴푸,바디로션,바디워시,마스크팩,트리트먼트,수분크림,시카크림,틴트,핸드크림,마사지젤,헤어에센스,크림,앰플,선크림,핸드워시,약산성샴푸,샴푸바,립밤,아이크림
50000003,디지털/가전,공유기,가습기,키보드,유무선공유기,외장하드,로봇청소기,스피커,무선청소기,블루투스스피커,탄소매트,복합기,에어프라이어,블루투스이어폰,마우스,모니터,온풍기,헤드셋,가열식가습기,블루투스헤드셋,무선마우스
50000004,가구/인테리어,암막커튼,선반,커튼,매트리스,디퓨저,행거,베개,컴퓨터책상,게이밍의자,러그,침대,패브릭소파가구,컴퓨터의자,침대프레임,식탁의자,사무용의자,수납선반,경추베개,이불,발매트
50000005,출산/육아,물티슈,젖병소독기,유아마스크,어린이마스크,답례품,백일상대여,낮잠이불,아기로션,층간소음매트,카시트,아기옷,소형마스크,아기세제,아기크림,포켓몬카드,기저귀가방,베베드피노,어린이집생일답례품,결혼식답례품,티니핑마스크
50000006,식품,유산균,오메가3,단백질보충제,비오틴,콜라겐,락토페린,양배추즙,한우,사과,홍삼,글루타치온,산양유단백질,콘드로이친,프로바이오틱스,비타민d,질유산균,아르기닌,효소,마그네슘,단백질쉐이크
50000007,스포츠/레저,핫팩,무릎보호대,손목보호대,골프거리측정기,허리보호대,캠핑의자,침낭,캠핑랜턴,폼롤러,발목보호대,캠핑테이블,요가매트,등산화,헤드랜턴,아령,캠핑박스,실내자전거,구명조끼,골프장갑,팔꿈치보호대
50000008,생활/건강,차량용방향제,kf94마스크,새부리형마스크,철제선반,덴탈마스크,마스크,안마의자,전담액상,kf94마스크새부리형,비데,차량용핸드폰거치대,수건,전자담배,전자담배액상,고양이모래,강아지사료,발각질제거기,싱크대수전,멀티탭,치약
50000009,여가/생활편의,화환,근조화환,개업화분,꽃배달,문화상품권,축하화환,일본유심,개업화환,꽃바구니,비발디파크리프트권,베트남유심,부산요트투어,결혼식화환,신세계상품권,유럽유심,비발디파크스키강습,태국유심,에어컨청소,롯데월드자유이용권,캠핑카렌트
50000013,화장품,꾸셀파운데이션,오피신유니버셀불리,에스티로더면세점,설화수면세점,면세점립스틱,꾸셀리퀴드파운데이션,골든구스면세점,면세점핸드크림,면세점설화수,면세점에스티로더,면세점립스틱추천,꾸셀리퀴드파운데이션100,꾸셀베이스오리지널,cpb,글램팜면세점,수려한골든콜라겐쿠션,롯데면세점,키엘면세점,디올립글로우면세점,맥면세점
