cid,title
50000001,패션잡화
50000002,화장품/미용
50000003,디지털/가전
50000004,가구/인테리어
50000005,출산/육아
50000006,식품
50000007,스포츠/레저
50000008,생활/건강
50000009,여가/생활편의
50000010,면세점
50000013,화장품
50000014,향수
50000015,시계/기프트
50000016,주얼리
50000017,패션/잡화
50000018,전자제품
50000019,식품/건강
50000020,마라톤용품
50000021,당구용품
50000022,기타스포츠용품
50000023,건강식품
50000024,다이어트식품
50000026,냉동/간편조리식품
50000027,등산
50000028,캠핑
50000029,골프
50000030,헬스
50000031,요가/필라테스
50000033,인라인스케이트
50000034,스케이트/보드/롤러
50000035,오토바이/스쿠터
50000036,축구
50000037,야구
50000038,농구
50000039,배구
50000040,탁구
50000041,배드민턴
50000042,테니스
50000043,스쿼시
50000044,족구
50000045,볼링
50000046,스킨스쿠버
50000047,검도
50000048,댄스
50000049,권투
50000050,보호용품
50000051,무술용품
50000052,수련용품
50000053,스포츠액세서리
50000054,화방용품
50000055,자동차용품
50000056,수집품
50000057,관상어용품
50000058,음반
50000059,DVD
50000060,종교
50000061,주방용품
50000062,세탁용품
50000063,건강측정용품
50000064,건강관리용품
50000065,당뇨관리용품
50000066,의료용품
50000067,실버용품
50000068,재활운동용품
50000069,물리치료/저주파용품
50000070,좌욕/좌훈용품
50000071,냉온/찜질용품
50000072,구강위생용품
50000073,눈건강용품
50000074,발건강용품
50000075,안마용품
50000076,수납/정리용품
50000077,청소용품
50000078,생활용품
50000079,원예/식물
50000080,정원/원예용품
50000081,블루레이
50000087,학습기기
50000088,게임기/타이틀
50000089,PC
50000090,PC액세서리
50000091,노트북액세서리
50000092,태블릿PC액세서리
50000093,모니터주변기기
50000094,주변기기
50000095,멀티미디어장비
50000096,저장장치
50000097,PC부품
50000098,네트워크장비
50000099,소프트웨어
50000100,침실가구
50000101,거실가구
50000102,주방가구
50000103,수납가구
50000104,아동/주니어가구
50000105,서재/사무용가구
50000106,아웃도어가구
50000107,DIY자재/용품
50000108,인테리어소품
50000109,침구단품
50000110,침구세트
50000111,솜류
50000112,카페트/러그
50000113,커튼/블라인드
50000114,수예
50000115,분유
50000116,기저귀
50000117,물티슈
50000118,이유식
50000119,아기간식
50000120,수유용품
50000121,유모차
50000122,카시트
50000123,외출용품
50000124,목욕용품
50000125,스킨/바디용품
50000126,위생/건강용품
50000127,구강청결용품
50000128,유아세제
50000129,소독/살균용품
50000130,안전용품
50000131,유아가구
50000132,이유식용품
50000133,임부복
50000134,임산부용품
50000135,유아침구
50000136,출산/돌기념품
50000137,신생아의류
50000138,유아동의류
50000139,유아동잡화
50000140,수영복/용품
50000141,유아발육용품
50000142,완구/매트
50000143,인형
50000144,교구
50000145,축산물
50000146,반찬
50000147,김치
50000148,음료
50000149,과자/베이커리
50000150,유가공품
50000151,노트북
50000152,태블릿PC
50000153,모니터
50000154,홈데코
50000155,반려동물
50000156,악기
50000157,욕실용품
50000158,문구/사무용품
50000159,수산물
50000160,농산물
50000161,자전거
50000162,스키/보드
50000163,낚시
50000164,수영
50000165,공구
50000166,양말
50000167,여성의류
50000168,여성언더웨어/잠옷
50000169,남성의류
50000170,남성언더웨어/잠옷
50000173,여성신발
50000174,남성신발
50000175,신발용품
50000176,여성가방
50000177,남성가방
50000178,여행용가방/소품
50000179,지갑
50000180,벨트
50000181,모자
50000182,장갑
50000183,선글라스/안경테
50000184,헤어액세서리
50000185,패션소품
50000186,시계
50000188,순금
50000190,스킨케어
50000191,선케어
50000192,클렌징
50000193,마스크/팩
50000194,베이스메이크업
50000195,색조메이크업
50000196,네일케어
50000197,바디케어
50000198,헤어케어
50000199,헤어스타일링
50000201,뷰티소품
50000202,남성화장품
50000204,휴대폰
50000205,휴대폰액세서리
50000206,카메라/캠코더용품
50000207,광학기기/용품
50000208,영상가전
50000209,음향가전
50000210,생활가전
50000211,이미용가전
50000212,계절가전
50000213,주방가전
50000214,자동차기기
50000215,기타육류
50000216,도마
50000217,캐릭터/패션인형
50000218,기타인형
50000221,학습보드게임
