cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000001,패션잡화,나이키운동화,어그슬리퍼,운동화,캐리어,크록스,안전화,백팩,스카프,크로스백,양말,카드지갑,루이비통가방,아디다스운동화,에코백,뉴발란스운동화,어그부츠,롱부츠,미니캐리어,어그,뉴발란스530
50000002,화장품/미용,샴푸,바디워시,마데카크림,ahc아이크림,바디로션,핸드크림,디올립글로우,탈모샴푸,헤어에센스,인셀덤,바이오틴탈모샴푸,헤라블랙쿠션,달바미스트세럼,마스크팩,키엘수분크림,선크림,립밤,수분크림,염색약,입생로랑쿠션
50000003,디지털/가전,가습기,탄소매트,전기매트,가열식가습기,냉장고,카본매트,무선청소기,보조배터리,김치냉장고,아이폰15프로케이스,에어프라이어,에어팟프로2,전기장판,온수매트,전자레인지,앱코키보드,스탠바이미,전기요,전기히터,노트북
50000004,가구/인테리어,행거,침대프레임,쇼파,침대,화장대,매트리스,서랍장,식탁의자,러그,극세사이불,암막커튼,선반,책상,옷장,앞치마,책장,이불,전신거울,파티션,식탁
50000005,출산/육아,베베드피노,물티슈,키즈경량패딩,키즈패딩,답례품,레고,탑텐키즈,백일상대여,돌반지,노스페이스키즈,키즈롱패딩,기저귀가방,뉴발란스키즈,캉골키즈,폴햄키즈,노스페이스키즈패딩,내셔널지오그래픽키즈,베베숲물티슈,아이스비스킷,수면조끼
50000006,식품,빼빼로,사과,쌀20kg,킹크랩,오메가3,글루타치온,닭가슴살,절임배추,유산균,아르기닌,맥심모카골드,고구마,귤,감홍사과,빼빼로만들기,과메기,오쏘몰이뮨,밀크씨슬,먹태깡,쌀10kg
50000007,스포츠/레저,경량패딩,등산화,핫팩,노스페이스패딩,후리스,에어텐트,디스커버리패딩,k2패딩,디스커버리경량패딩,무릎보호대,전기자전거,트레킹화,골프웨어,k2씬에어,침낭,롱패딩,내셔널지오그래픽,노스페이스후리스,캠핑의자,캠핑테이블
50000008,생활/건강,전자담배액상,비데,스타벅스텀블러,텀블러,요소수,차량용방향제,크리스마스트리,다이어리,빨래건조대,식기건조대,a4용지,보온도시락,전자담배,멀티탭,안마의자,차량용핸드폰거치대,마스크,스탠리텀블러,강아지옷,수건
50000009,여가/생활편의,화환,유튜브프리미엄,에버랜드자유이용권,코스트코상품권,문화상품권,신세계상품권,롯데월드자유이용권,일본유심,부산요트투어,롯데월드,크루즈여행,개업화분,대마도배편,후쿠오카버스투어,와이파이도시락,에버랜드,혜화연극,일본여행,식전영상,컬쳐랜드
50000010,면세점,카메라,면세점향수,면세점가방,면세점선글라스,카메라추천,롱샴면세점,인천공항면세점향수,꾸셀파운데이션,인천공항면세점선글라스,면세점시계,롯데면세점,에스티로더면세점,면세점가방추천,샤넬향수면세점,조말론향수면세점,조말론면세점,면세점핸드크림,면세점백팩,면세점크로스백,면세점어그
