cid,title
50000001.0,패션잡화
50000002.0,화장품/미용
50000003.0,디지털/가전
50000004.0,가구/인테리어
50000005.0,출산/육아
50000006.0,식품
50000007.0,스포츠/레저
50000008.0,생활/건강
50000009.0,여가/생활편의
50000010.0,면세점
50000013.0,화장품
50000014.0,향수
50000015.0,시계/기프트
50000016.0,주얼리
50000017.0,패션/잡화
50000018.0,전자제품
50000019.0,식품/건강
50000020.0,마라톤용품
50000021.0,당구용품
50000022.0,기타스포츠용품
50000023.0,건강식품
50000024.0,다이어트식품
50000026.0,냉동/간편조리식품
50000027.0,등산
50000028.0,캠핑
50000029.0,골프
50000030.0,헬스
50000031.0,요가/필라테스
50000033.0,인라인스케이트
50000034.0,스케이트/보드/롤러
50000035.0,오토바이/스쿠터
50000036.0,축구
50000037.0,야구
50000038.0,농구
50000039.0,배구
50000040.0,탁구
50000041.0,배드민턴
50000042.0,테니스
50000043.0,스쿼시
50000044.0,족구
50000045.0,볼링
50000046.0,스킨스쿠버
50000047.0,검도
50000048.0,댄스
50000049.0,권투
50000050.0,보호용품
50000051.0,무술용품
50000052.0,수련용품
50000053.0,스포츠액세서리
50000054.0,화방용품
50000055.0,자동차용품
50000056.0,수집품
50000057.0,관상어용품
50000058.0,음반
50000059.0,DVD
50000060.0,종교
50000061.0,주방용품
50000062.0,세탁용품
50000063.0,건강측정용품
50000064.0,건강관리용품
50000065.0,당뇨관리용품
50000066.0,의료용품
50000067.0,실버용품
50000068.0,재활운동용품
50000069.0,물리치료/저주파용품
50000070.0,좌욕/좌훈용품
50000071.0,냉온/찜질용품
50000072.0,구강위생용품
50000073.0,눈건강용품
50000074.0,발건강용품
50000075.0,안마용품
50000076.0,수납/정리용품
50000077.0,청소용품
50000078.0,생활용품
50000079.0,원예/식물
50000080.0,정원/원예용품
50000081.0,블루레이
50000087.0,학습기기
50000088.0,게임기/타이틀
50000089.0,PC
50000090.0,PC액세서리
50000091.0,노트북액세서리
50000092.0,태블릿PC액세서리
50000093.0,모니터주변기기
50000094.0,주변기기
50000095.0,멀티미디어장비
50000096.0,저장장치
50000097.0,PC부품
50000098.0,네트워크장비
50000099.0,소프트웨어
50000100.0,침실가구
50000101.0,거실가구
50000102.0,주방가구
50000103.0,수납가구
50000104.0,아동/주니어가구
50000105.0,서재/사무용가구
50000106.0,아웃도어가구
50000107.0,DIY자재/용품
50000108.0,인테리어소품
50000109.0,침구단품
50000110.0,침구세트
50000111.0,솜류
50000112.0,카페트/러그
50000113.0,커튼/블라인드
50000114.0,수예
50000115.0,분유
50000116.0,기저귀
50000117.0,물티슈
50000118.0,이유식
50000119.0,아기간식
50000120.0,수유용품
50000121.0,유모차
50000122.0,카시트
50000123.0,외출용품
50000124.0,목욕용품
50000125.0,스킨/바디용품
50000126.0,위생/건강용품
50000127.0,구강청결용품
50000128.0,유아세제
50000129.0,소독/살균용품
50000130.0,안전용품
50000131.0,유아가구
50000132.0,이유식용품
50000133.0,임부복
50000134.0,임산부용품
50000135.0,유아침구
50000136.0,출산/돌기념품
50000137.0,신생아의류
50000138.0,유아동의류
50000139.0,유아동잡화
50000140.0,수영복/용품
50000141.0,유아발육용품
50000142.0,완구/매트
50000143.0,인형
50000144.0,교구
50000145.0,축산물
50000146.0,반찬
50000147.0,김치
50000148.0,음료
50000149.0,과자/베이커리
50000150.0,유가공품
50000151.0,노트북
50000152.0,태블릿PC
50000153.0,모니터
50000154.0,홈데코
50000155.0,반려동물
50000156.0,악기
50000157.0,욕실용품
50000158.0,문구/사무용품
50000159.0,수산물
50000160.0,농산물
50000161.0,자전거
50000162.0,스키/보드
50000163.0,낚시
50000164.0,수영
50000165.0,공구
50000166.0,양말
50000167.0,여성의류
50000168.0,여성언더웨어/잠옷
50000169.0,남성의류
50000170.0,남성언더웨어/잠옷
50000173.0,여성신발
50000174.0,남성신발
50000175.0,신발용품
50000176.0,여성가방
50000177.0,남성가방
50000178.0,여행용가방/소품
50000179.0,지갑
50000180.0,벨트
50000181.0,모자
50000182.0,장갑
50000183.0,선글라스/안경테
50000184.0,헤어액세서리
50000185.0,패션소품
50000186.0,시계
50000188.0,순금
50000189.0,주얼리
50000190.0,스킨케어
50000191.0,선케어
50000192.0,클렌징
50000193.0,마스크/팩
50000194.0,베이스메이크업
50000195.0,색조메이크업
50000196.0,네일케어
50000197.0,바디케어
50000198.0,헤어케어
50000199.0,헤어스타일링
50000200.0,향수
50000201.0,뷰티소품
50000202.0,남성화장품
50000204.0,휴대폰
50000205.0,휴대폰액세서리
50000206.0,카메라/캠코더용품
50000207.0,광학기기/용품
50000208.0,영상가전
50000209.0,음향가전
50000210.0,생활가전
50000211.0,이미용가전
50000212.0,계절가전
50000213.0,주방가전
50000214.0,자동차기기
50000215.0,기타육류
50000216.0,도마
50000217.0,캐릭터/패션인형
50000218.0,기타인형
50000221.0,학습보드게임
50000222.0,비디오/DVD
50000223.0,양말
50000226.0,우산
50000227.0,벨트/멜빵
50000229.0,햄스터용품
50000230.0,고슴도치용품
50000231.0,토끼용품
50000232.0,조류용품
50000233.0,기타반려동물용품
50000234.0,국내앨범
50000235.0,해외앨범
50000236.0,애니메이션
50000237.0,뮤직비디오
50000238.0,취미/스포츠
50000239.0,종교
50000240.0,교육
50000241.0,교양/다큐멘터리
50000242.0,유아/어린이
50000243.0,불교용품
50000244.0,천주교용품
50000245.0,기독교용품
50000246.0,SKT
50000247.0,KT
50000248.0,LG U+
50000249.0,공기계/중고폰
50000250.0,해외출시폰
50000251.0,MVNO
50000252.0,휴대폰케이블
50000253.0,휴대폰젠더
50000254.0,휴대폰렌즈
50000255.0,휴대폰거치대
50000256.0,휴대폰줄
50000257.0,휴대폰이어캡
50000259.0,핸드셋
50000261.0,휴대폰DMB수신기
50000262.0,웨어러블 디바이스
50000263.0,휴대폰쿨링패드
50000264.0,기타휴대폰액세서리
50000265.0,DSLR카메라
50000266.0,미러리스디카
50000267.0,일반디카
50000268.0,캠코더
50000269.0,기타유아동잡화
50000270.0,조끼
50000271.0,상하세트
50000276.0,임산부바디필로우
50000277.0,기타임산부용품
50000280.0,양고기
50000281.0,바디크림
50000282.0,바디오일
50000283.0,바디미스트
50000284.0,바디파우더
50000285.0,바디클렌저
50000286.0,바디스크럽
50000287.0,여성청결제
50000288.0,목욕비누
50000289.0,핸드케어
50000290.0,풋케어
50000291.0,입욕제
50000292.0,아로마테라피
50000293.0,데오드란트
50000294.0,제모제
50000295.0,바디슬리밍
50000296.0,바디케어세트
50000297.0,샴푸
50000298.0,린스
50000299.0,트리트먼트
50000300.0,헤어에센스
50000301.0,헤어팩
50000302.0,헤어미스트
50000303.0,두피케어
50000304.0,탈모케어
50000305.0,헤어케어세트
50000306.0,헤어왁스
50000307.0,헤어스프레이
50000308.0,헤어무스
50000309.0,헤어젤
50000310.0,헤어글레이즈
50000311.0,염색약
50000312.0,여성향수
50000313.0,남성향수
50000314.0,남녀공용향수
50000315.0,향수세트
50000316.0,바디소품
50000317.0,타투
50000319.0,화장품케이스
50000321.0,스킨
50000322.0,로션
50000323.0,에센스
50000324.0,크림
50000325.0,아이케어
50000326.0,올인원
50000327.0,선크림
50000328.0,클렌징
50000329.0,스크럽/필링
50000330.0,마스크/팩
50000331.0,메이크업
50000332.0,쉐이빙폼
50000333.0,남성청결제
50000334.0,남성화장품세트
50000342.0,넥케어
50000343.0,캐릭터카드/딱지
50000344.0,봉제인형
50000345.0,메이크업베이스
50000346.0,트윈케이크
50000347.0,컨실러
50000348.0,지갑
50000349.0,모자
50000350.0,장갑
50000351.0,귀마개
50000352.0,목도리
50000353.0,스카프
50000356.0,앞치마/토시/두건
50000357.0,넥타이
50000358.0,선글라스
50000361.0,남아수영복
50000362.0,여아수영복
50000363.0,수경/수모/귀마개
50000365.0,수영가방/비치백
50000367.0,바운서/흔들침대
50000368.0,보행기
50000369.0,쏘서
50000370.0,점퍼루
50000371.0,놀이방매트
50000373.0,서예/글씨
50000374.0,LP
50000375.0,공예품
50000376.0,포스터
50000378.0,이색수집품
50000380.0,사료
50000381.0,수조장식용품
50000382.0,수조청소용품
50000383.0,수족관/어항
50000384.0,수초
50000385.0,에어/기포
50000386.0,모터
50000387.0,히터
50000388.0,조명
50000389.0,여과기/여과제
50000390.0,베이스메이크업세트
50000391.0,립스틱
50000392.0,립케어
50000393.0,립글로스
50000394.0,립틴트
50000395.0,립라이너
50000396.0,아이섀도
50000397.0,마스카라
50000398.0,아이브로
50000399.0,블러셔
50000400.0,하이라이터/쉐이딩
50000401.0,색조메이크업세트
50000402.0,매니큐어
50000403.0,네일아트
50000404.0,네일영양제
50000405.0,네일리무버
50000406.0,네일케어도구
50000407.0,네일케어세트
50000408.0,바디로션
50000409.0,니트/스웨터
50000410.0,카디건
50000411.0,바지
50000412.0,스커트
50000413.0,드레스
50000414.0,원피스
50000415.0,정장
50000416.0,트레이닝복
50000418.0,재킷
50000419.0,점퍼
50000420.0,코트
50000425.0,커플시계
50000426.0,아동시계
50000432.0,골드바
50000433.0,순금기념품
50000434.0,기타패션소품
50000435.0,시계수리용품
50000437.0,스킨/토너
50000438.0,로션
50000439.0,에센스
50000440.0,크림
50000441.0,아이케어
50000442.0,미스트
50000443.0,페이스오일
50000444.0,화장품세트
50000445.0,선크림
50000446.0,선스프레이
50000447.0,선스틱
50000448.0,선파우더/쿠션
50000449.0,애프터선
50000450.0,선케어세트
50000451.0,클렌징폼
50000452.0,클렌징오일
50000453.0,클렌징크림
50000454.0,클렌징로션
50000455.0,클렌징젤
50000456.0,클렌징워터
50000457.0,클렌징티슈
50000458.0,클렌징비누
50000459.0,클렌징파우더
50000460.0,립앤아이리무버
50000461.0,스크럽/필링
50000462.0,클렌징세트
50000463.0,마스크시트
50000464.0,필오프팩
50000465.0,워시오프팩
50000466.0,코팩
50000467.0,수면팩
50000468.0,마사지크림/젤
50000469.0,마스크/팩세트
50000470.0,BB크림
50000471.0,CC크림
50000472.0,프라이머
50000473.0,기저귀정리함
50000476.0,기타유아가구
50000477.0,유아컵
50000478.0,유아식기
50000479.0,유아스푼/포크
50000481.0,연습용젓가락
50000482.0,턱받이
50000483.0,조리기
50000485.0,과즙망
50000486.0,기타이유식용품
50000487.0,수유복
50000488.0,원피스
50000496.0,바지
50000497.0,청바지
50000498.0,트레이닝복/요가복
50000499.0,스커트
50000500.0,스타킹
50000501.0,레깅스
50000502.0,임부용수영복
50000503.0,산모방석
50000505.0,전자파차단앞치마
50000507.0,임산부화장품
50000508.0,임산부보호대
50000509.0,속싸개
50000510.0,겉싸개
50000512.0,아기이불/요/패드
50000513.0,보낭/슬리핑백
50000514.0,방수요
50000516.0,DIY 아기용품
50000517.0,기타유아침구
50000518.0,기저귀케이크
50000519.0,탯줄보관함
50000520.0,손발도장
50000521.0,탯줄도장
50000522.0,성장앨범/액자
50000524.0,기타출산/돌기념품
50000526.0,레그/스패츠
50000528.0,바디슈트/롬퍼
50000529.0,배냇저고리
50000530.0,손/발싸개
50000531.0,신생아모자/보닛
50000532.0,우주복
50000535.0,티셔츠
50000536.0,블라우스
50000537.0,통장지갑
50000538.0,지갑기타세트
50000539.0,여성벨트
50000540.0,멜빵
50000541.0,군모
50000542.0,선캡
50000543.0,비니
50000544.0,페도라
50000545.0,두건/반다나
50000546.0,사파리모자
50000547.0,헌팅캡
50000548.0,귀달이모자
50000549.0,방울털모자
50000550.0,귀마개
50000551.0,여성장갑
50000552.0,남성장갑
50000553.0,암워머/토시
50000554.0,선글라스
50000555.0,선글라스 케이스/소품
50000556.0,안경테
50000557.0,안경케이스
50000558.0,안경소품
50000559.0,안경줄
50000560.0,헤어밴드
50000561.0,헤어핀
50000562.0,헤어끈
50000563.0,헤어액세서리소품
50000564.0,커프스
50000565.0,머플러
50000566.0,넥워머
50000567.0,숄
50000568.0,넥케이프
50000569.0,행커치프
50000570.0,키홀더
50000571.0,부채
50000572.0,와펜
50000573.0,코르사주
50000574.0,한복소품
50000576.0,안전문
50000577.0,모서리보호대
50000578.0,머리보호대
50000579.0,무릎보호대
50000580.0,문닫힘방지
50000582.0,디딤대
50000583.0,모기밴드/퇴치용품
50000584.0,안전잠금장치
50000586.0,콘센트안전커버
50000587.0,유아침대
50000589.0,유아책상
50000590.0,유아공부상
50000591.0,유아의자
50000592.0,유아소파
50000593.0,유아이유식의자
50000598.0,유아옷걸이
50000600.0,장난감정리함
50000601.0,유아변기/커버
50000603.0,유아면봉
50000604.0,유아손톱가위/손톱깎이
50000606.0,유아손세정제
50000608.0,유아마스크
50000610.0,기저귀휴지통
50000611.0,분통/파우더통
50000612.0,유아이발용품
50000613.0,제균스프레이
50000614.0,콧물흡입기
50000615.0,키재기
50000616.0,투약기
50000617.0,해열시트
50000619.0,유아칫솔
50000620.0,유아치약
50000621.0,유아구강세정제
50000622.0,유아구강청결티슈
50000623.0,손가락빨기방지용품
50000624.0,유아항균팩
50000625.0,기타구강청결용품
50000626.0,유아세탁세제
50000627.0,유아유연제
50000628.0,유아세탁비누
50000629.0,젖병소독기
50000630.0,젖병세정제
50000631.0,젖병솔
50000632.0,젖병집게
50000633.0,젖병건조대
50000634.0,장난감소독기
50000636.0,우드락/폼보드
50000639.0,숄더백
50000640.0,토트백
50000641.0,크로스백
